,시간,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221101,0,82700,83900,81400,83900,1200,3820185,316974000000,1613467,728002000,61079367000000,72800236,35854043,369461933,50.75,20221101,100.0,56046,-30105835,0,0.0,0,0.0,0.0
20221031,0,84300,85400,82400,82700,-700,6271574,524947000000,2953047,728002000,60205765000000,72800236,35861725,369385107,50.7400016784668,20221031,100.0,-35157,-30161881,0,0.0,0,0.0,0.0
20221028,0,87100,87800,83000,83400,-6600,7748514,658734000000,4672355,728002000,60715366000000,72800236,35794810,370054256,50.83000183105469,20221028,100.0,-757459,-30126724,0,0.0,0,0.0,0.0
20221027,0,95100,95100,89800,90000,-3900,4550273,417479000000,2546963,728002000,65520180000000,72800236,35619597,371806393,51.06999969482422,20221027,100.0,-744769,-29369265,0,0.0,0,0.0,0.0
20221026,0,93300,95500,93200,93900,400,3310322,313156000000,1381469,728002000,68359387000000,72800236,35583884,372163525,51.119998931884766,20221026,100.0,-240360,-28624496,0,0.0,0,0.0,0.0
20221025,0,91900,94800,91000,93500,1700,2656194,248751000000,951917,728002000,68068187000000,72800236,35676955,371232811,50.9900016784668,20221025,100.0,256852,-28384136,0,0.0,0,0.0,0.0
20221024,0,92200,93100,91200,91800,1300,2165991,199716000000,1025855,728002000,66830583000000,72800236,35695167,371050694,50.970001220703125,20221024,100.0,439806,-28640988,0,0.0,0,0.0,0.0
20221021,0,89800,91400,89700,90500,300,2206754,200306000000,930665,728002000,65884181000000,72800236,35670167,371300689,51.0,20221021,100.0,77831,-29080794,0,0.0,0,0.0,0.0
20221020,0,91000,91800,89000,90200,-2700,4547678,409444000000,2071175,728002000,65665780000000,72800236,35686041,371141949,50.97999954223633,20221020,100.0,-40274,-29158625,0,0.0,0,0.0,0.0
20221019,0,94700,94900,92700,92900,-2900,3684934,344616000000,2056581,728002000,67631385000000,72800236,35651211,371490251,51.029998779296875,20221019,100.0,-992715,-29118351,0,0.0,0,0.0,0.0
20221018,0,95900,96200,94600,95800,600,2618680,249330000000,1263672,728002000,69742591000000,72800236,35688724,371115121,50.97999954223633,20221018,100.0,-192119,-28125636,0,0.0,0,0.0,0.0
20221017,0,94600,95300,94000,95200,-300,2134558,202198000000,852957,728002000,69305790000000,72800236,35733153,370670829,50.91999816894531,20221017,100.0,-299843,-27933517,0,0.0,0,0.0,0.0
20221014,0,96000,96600,94300,95500,600,3516437,334829000000,1527213,728002000,69524191000000,72800236,35788730,370115060,50.84000015258789,20221014,100.0,-302175,-27633674,0,0.0,0,0.0,0.0
20221013,0,93400,94900,92800,94900,900,4390570,413620000000,1679379,728002000,69087389000000,72800236,35872724,369275118,50.720001220703125,20221013,100.0,78368,-27331499,0,0.0,0,0.0,0.0
20221012,0,91000,94000,90900,94000,3800,4648231,430456000000,1679479,728002000,68432188000000,72800236,35948179,368520567,50.619998931884766,20221012,100.0,-283607,-27409867,0,0.0,0,0.0,0.0
20221011,0,89700,91200,88000,90200,-1000,3840842,344912000000,1529497,728002000,65665780000000,72800236,36034797,367654391,50.5,20221011,100.0,-613160,-27126260,0,0.0,0,0.0,0.0
20221007,0,89600,91800,87800,91200,1300,3100583,280262000000,908553,728002000,66393782000000,72800236,36126954,366732818,50.380001068115234,20221007,100.0,-36395,-26513100,0,0.0,0,0.0,0.0
20221006,0,90900,92000,89800,89900,100,3039698,275695000000,1235302,728002000,65447379000000,72800236,36226883,365733531,50.2400016784668,20221006,100.0,-377448,-26476705,0,0.0,0,0.0,0.0
