Date,Open,High,Low,Close,Adj Close,Volume
2021-07-14,646.0,646.0,646.0,646.0,646.0,0
2021-07-15,660.25,660.25,660.25,660.25,660.25,0
2021-07-16,672.75,672.75,672.75,672.75,672.75,0
2021-07-19,675.5,675.5,675.5,675.5,675.5,0
2021-07-20,672.5,672.5,672.5,672.5,672.5,0
2021-07-21,682.25,682.25,682.25,682.25,682.25,0
2021-07-22,668.75,668.75,668.75,668.75,668.75,0
2021-07-23,663.25,663.25,663.25,663.25,663.25,0
2021-07-26,658.75,658.75,658.75,658.75,658.75,0
2021-07-27,655.75,655.75,655.75,655.75,655.75,0
2021-07-28,664.5,664.5,664.5,664.5,664.5,0
2021-07-29,677.25,677.25,677.25,677.25,677.25,0
2021-07-30,677.75,677.75,677.75,677.75,677.75,4
2021-08-02,689.25,694.25,689.0,694.25,694.25,4
2021-08-03,690.75,690.75,690.75,690.75,690.75,0
2021-08-04,689.75,689.75,689.75,689.75,689.75,0
2021-08-05,688.25,688.25,688.25,688.25,688.25,0
2021-08-06,699.5,699.5,699.5,699.5,699.5,0
2021-08-09,697.0,697.0,697.0,697.0,697.0,0
2021-08-10,699.0,699.0,699.0,699.0,699.0,0
2021-08-11,694.75,694.75,694.75,694.75,694.75,0
2021-08-12,697.25,697.25,697.25,697.25,697.25,0
2021-08-13,703.75,703.75,703.75,703.75,703.75,0
2021-08-16,704.5,707.0,703.75,707.0,707.0,4
2021-08-17,681.75,695.75,681.75,695.75,695.75,1
2021-08-18,693.5,693.5,693.5,693.5,693.5,0
2021-08-19,682.75,684.75,682.75,684.75,684.75,5
2021-08-20,677.25,677.25,677.25,677.25,677.25,0
2021-08-23,686.75,686.75,686.75,686.75,686.75,0
2021-08-24,686.0,686.0,686.0,686.0,686.0,0
2021-08-25,679.25,679.25,679.25,679.25,679.25,0
2021-08-26,687.25,687.25,687.25,687.25,687.25,0
2021-08-27,686.75,686.75,686.75,686.75,686.75,0
2021-08-30,685.0,685.0,685.0,685.0,685.0,0
2021-08-31,696.5,696.5,696.5,696.5,696.5,0
2021-09-01,687.5,687.5,687.5,687.5,687.5,0
2021-09-02,688.5,688.5,688.5,688.5,688.5,0
2021-09-03,694.0,694.0,694.0,694.0,694.0,0
2021-09-07,684.75,684.75,684.75,684.75,684.75,0
2021-09-08,678.75,678.75,678.75,678.75,678.75,0
2021-09-09,665.75,665.75,665.75,665.75,665.75,0
2021-09-10,674.5,674.5,674.5,674.5,674.5,0
2021-09-13,672.25,672.25,672.25,672.25,672.25,2
2021-09-14,683.0,683.0,683.0,683.0,683.0,0
2021-09-15,688.5,688.5,688.5,688.5,688.5,0
2021-09-16,686.5,686.5,686.5,686.5,686.5,0
2021-09-17,684.25,684.25,684.25,684.25,684.25,0
2021-09-20,682.0,682.0,682.0,682.0,682.0,0
2021-09-21,678.25,678.25,678.25,678.25,678.25,0
2021-09-22,688.75,693.0,688.75,693.0,693.0,6
2021-09-23,687.5,701.5,687.5,701.5,701.5,9
2021-09-24,698.0,699.5,697.5,699.5,699.5,9
2021-09-27,702.25,702.25,702.25,702.25,702.25,0
2021-09-28,698.75,698.75,689.25,689.25,689.25,0
