Open,High,Low,Close,Adj Close,Volume
1.122083,1.122838,1.115947,1.122083,1.122083,0
1.121894,1.122712,1.116682,1.122083,1.122083,0
1.117081,1.118068,1.11257,1.117144,1.117144,0
1.116246,1.120825,1.11581,1.116196,1.116196,0
1.119583,1.119946,1.113487,1.119799,1.119799,0
1.115573,1.11652,1.111086,1.115474,1.115474,0
1.111444,1.112223,1.109509,1.111321,1.111321,0
1.110926,1.1121,1.108623,1.111111,1.111111,0
1.111655,1.114467,1.111408,1.111667,1.111667,0
1.113449,1.114579,1.110556,1.113573,1.113573,0
1.112966,1.116346,1.112025,1.11309,1.11309,0
1.11527,1.117194,1.112978,1.1154,1.1154,0
1.1138,1.1145,1.108758,1.113958,1.113958,0
1.109521,1.110494,1.107751,1.109459,1.109459,0
1.109644,1.111976,1.108647,1.109693,1.109693,0
1.108586,1.109779,1.107162,1.108561,1.108561,0
1.109755,1.110322,1.103704,1.109644,1.109644,0
1.105534,1.106085,1.102123,1.105522,1.105522,0
1.102633,1.103997,1.101006,1.102536,1.102536,0
1.101965,1.102657,1.099856,1.101977,1.101977,0
1.102293,1.103022,1.099324,1.102256,1.102256,0
1.101406,1.103655,1.100824,1.101686,1.101686,0
1.102876,1.109016,1.101795,1.102913,1.102913,0
1.108906,1.108906,1.10435,1.108979,1.108979,0
1.106293,1.106562,1.103387,1.106293,1.106293,0
1.104472,1.10485,1.099832,1.104728,1.104728,0
1.100049,1.101285,1.096551,1.100231,1.100231,0
1.098105,1.098699,1.094691,1.098298,1.098298,0
1.094871,1.096131,1.09096,1.094931,1.094931,0
1.091227,1.0927,1.089348,1.091346,1.091346,0
1.09218,1.0925,1.088708,1.091941,1.091941,0
1.087642,1.089087,1.083553,1.087595,1.087595,0
1.084599,1.086248,1.08313,1.084599,1.084599,0
1.084058,1.0854,1.083025,1.084175,1.084175,0
1.083705,1.0839,1.078691,1.084011,1.084011,0
1.079471,1.080847,1.07836,1.07954,1.07954,0
1.080964,1.0821,1.077958,1.08101,1.08101,0
1.078772,1.086366,1.078772,1.0788,1.0788,0
1.083858,1.086366,1.080847,1.083905,1.083905,0
1.084905,1.088175,1.083177,1.08492,1.08492,0
1.0881,1.090358,1.085564,1.0882,1.0882,0
1.088566,1.10057,1.088566,1.088589,1.088589,0
1.099554,1.105278,1.095158,1.099723,1.099723,0
1.105253,1.116408,1.103728,1.105131,1.105131,0
1.11443,1.12075,1.10973,1.114405,1.114405,0
1.11773,1.118568,1.109693,1.118068,1.118068,0
1.113908,1.120448,1.112174,1.113908,1.113908,0
1.122385,1.135473,1.121391,1.122385,1.122385,0
1.138615,1.149584,1.13568,1.138602,1.138602,0
1.139744,1.142296,1.133414,1.139796,1.139796,0
1.131618,1.136596,1.125901,1.131651,1.131651,0
1.126075,1.133286,1.108082,1.126152,1.126152,0
1.118356,1.122133,1.106537,1.118493,1.118493,0
1.115959,1.12354,1.108869,1.115536,1.115536,0
1.116333,1.118906,1.095794,1.116321,1.116321,0
1.101686,1.1045,1.083189,1.101552,1.101552,0
1.094343,1.094559,1.069793,1.096155,1.096155,0
1.065848,1.082989,1.065451,1.065735,1.065735,0
1.068753,1.082485,1.066041,1.069439,1.069439,0
1.076473,1.08885,1.075338,1.076461,1.076461,0
1.080124,1.084952,1.077018,1.080264,1.080264,0
1.088755,1.102548,1.087654,1.088957,1.088957,0
1.104618,1.108647,1.095518,1.104826,1.104826,0
1.113536,1.113784,1.101225,1.113908,1.113908,0
1.10284,1.104362,1.092968,1.103047,1.103047,0
1.102816,1.103753,1.09187,1.102657,1.102657,0
1.095098,1.096299,1.084434,1.095362,1.095362,0
1.084387,1.085894,1.07762,1.08474,1.08474,0
1.080824,1.083435,1.076925,1.080696,1.080696,0
1.080194,1.092335,1.07914,1.08038,1.08038,0
1.089431,1.089621,1.083177,1.089514,1.089514,0
1.086118,1.094355,1.08418,1.086366,1.086366,0
1.092598,1.09541,1.092108,1.092741,1.092741,0
1.093135,1.096852,1.08936,1.093267,1.093267,0
1.091953,1.098394,1.091572,1.092299,1.092299,0
1.098237,1.098901,1.085765,1.098539,1.098539,0
1.090382,1.090774,1.082966,1.09051,1.09051,0
1.086012,1.089325,1.081268,1.085847,1.085847,0
1.086626,1.089704,1.084305,1.086697,1.086697,0
1.086354,1.087997,1.081795,1.086484,1.086484,0
1.085741,1.088317,1.082427,1.085647,1.085647,0
1.080684,1.084399,1.075836,1.080964,1.080964,0
1.077633,1.081771,1.072766,1.077702,1.077702,0
1.082368,1.086036,1.081221,1.082368,1.082368,0
1.08272,1.088969,1.081128,1.082485,1.082485,0
1.083236,1.087429,1.083166,1.083658,1.083658,0
1.087666,1.096996,1.083565,1.087725,1.087725,0
1.094475,1.101625,1.093542,1.094547,1.094547,0
1.095746,1.095782,1.090132,1.095963,1.095963,0
1.090453,1.092132,1.082696,1.090429,1.090429,0
1.084011,1.084481,1.078423,1.083858,1.083858,0
1.080054,1.081572,1.076751,1.079855,1.079855,0
1.083694,1.087335,1.081631,1.083717,1.083717,0
1.084011,1.085305,1.080427,1.083952,1.083952,0
1.080917,1.088045,1.078539,1.080941,1.080941,0
1.084634,1.089336,1.083142,1.084681,1.084681,0
1.082193,1.082485,1.077656,1.082368,1.082368,0
1.080625,1.084952,1.079086,1.080696,1.080696,0
1.081947,1.091274,1.080089,1.082134,1.082134,0
1.091584,1.097514,1.090275,1.091512,1.091512,0
1.093016,1.099904,1.09292,1.092777,1.092777,0
1.097936,1.100873,1.093948,1.098298,1.098298,0
1.095242,1.09553,1.088613,1.09529,1.09529,0
1.090905,1.091465,1.087205,1.09078,1.09078,0
1.090108,1.099155,1.089835,1.0903,1.0903,0
1.098056,1.102986,1.093661,1.098177,1.098177,0
1.101528,1.107187,1.099312,1.101686,1.101686,0
1.107812,1.114467,1.10704,1.107911,1.107911,0
1.111457,1.1152,1.110149,1.111852,1.111852,0
1.112557,1.11957,1.111568,1.112595,1.112595,0
1.118568,1.124999,1.118105,1.118944,1.118944,0
1.123722,1.136054,1.119595,1.123595,1.123595,0
1.133723,1.138395,1.128566,1.133787,1.133787,0
1.131606,1.131875,1.126951,1.131952,1.131952,0
1.130288,1.136338,1.124366,1.130557,1.130557,0
1.133414,1.138887,1.133414,1.133222,1.133222,0
1.136868,1.140017,1.132605,1.136544,1.136544,0
1.128936,1.13398,1.123469,1.128808,1.128808,0
1.125416,1.129203,1.122876,1.125201,1.125201,0
