"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","862.97","859.27","863.23","857.91","55.81K","0.60%"
"2022- 12- 21","857.84","857.49","864.19","854.66","144.83K","0.08%"
"2022- 12- 20","857.13","872.10","875.15","853.22","173.73K","-1.67%"
"2022- 12- 19","871.73","879.44","881.41","869.68","146.19K","-0.40%"
"2022- 12- 16","875.25","884.33","885.18","872.80","126.18K","-0.94%"
"2022- 12- 15","883.53","889.52","893.70","880.93","152.30K","-0.62%"
"2022- 12- 14","889.05","883.88","892.84","882.05","160.65K","0.64%"
"2022- 12- 13","883.44","881.75","901.15","878.67","147.18K","0.28%"
"2022- 12- 12","880.95","887.36","889.23","879.05","135.63K","-0.57%"
"2022- 12- 09","885.98","891.35","893.26","877.73","150.01K","-0.51%"
"2022- 12- 08","890.55","884.04","892.96","882.54","159.48K","0.81%"
"2022- 12- 07","883.39","883.56","888.07","878.97","172.78K","0.02%"
"2022- 12- 06","883.20","874.52","889.93","872.66","160.66K","1.03%"
"2022- 12- 05","874.16","882.14","886.67","872.37","159.81K","-0.79%"
"2022- 12- 02","881.14","888.40","889.70","874.28","153.75K","-0.81%"
"2022- 12- 01","888.31","883.21","891.28","881.17","183.89K","0.57%"
"2022- 11- 30","883.30","886.61","890.35","880.26","167.76K","-0.32%"
"2022- 11- 29","886.14","892.18","895.51","885.33","142.39K","-0.51%"
"2022- 11- 28","890.67","899.37","900.60","890.43","139.78K","-1.11%"
"2022- 11- 25","900.64","898.32","902.64","893.27","119.06K","0.38%"
"2022- 11- 24","897.24","900.13","903.77","893.98","117.07K","-0.29%"
"2022- 11- 23","899.83","899.61","903.93","896.05","124.64K","0.07%"
"2022- 11- 22","899.24","898.16","901.21","894.28","141.37K","0.16%"
