"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","60,694.75","61,257.17","61,456.10","60,671.17","6.77K","-0.61%"
"2022- 12- 21","61,067.24","61,993.71","62,006.46","60,938.38","6.59M","-1.03%"
"2022- 12- 20","61,702.29","61,608.85","61,780.37","61,102.68","4.49M","-0.17%"
"2022- 12- 19","61,806.19","61,405.80","61,844.92","61,265.31","4.76M","0.76%"
"2022- 12- 16","61,337.81","61,534.24","61,893.22","61,292.53","6.96M","-0.75%"
"2022- 12- 15","61,799.03","62,530.07","62,622.26","61,717.29","5.62K","-1.40%"
"2022- 12- 14","62,677.91","62,685.94","62,835.11","62,591.28","5.71M","0.23%"
"2022- 12- 13","62,533.30","62,300.67","62,567.92","62,129.57","11.99M","0.65%"
"2022- 12- 12","62,130.57","61,770.56","62,239.42","61,676.15","7.02M","-0.08%"
"2022- 12- 09","62,181.67","62,690.86","62,735.42","61,889.11","7.27M","-0.62%"
"2022- 12- 08","62,570.68","62,504.04","62,633.56","62,320.18","13.73M","0.26%"
"2022- 12- 07","62,410.68","62,615.52","62,759.97","62,316.65","4.83M","-0.34%"
"2022- 12- 06","62,626.36","62,395.55","62,677.84","62,390.07","6.07M","-0.33%"
"2022- 12- 05","62,834.60","62,865.28","62,939.63","62,507.88","13.11M","-0.05%"
"2022- 12- 02","62,868.50","62,978.58","63,148.59","62,679.63","6.39M","-0.66%"
"2022- 12- 01","63,284.19","63,357.99","63,583.07","63,183.77","17.29M","0.29%"
"2022- 11- 30","63,099.65","62,743.47","63,303.01","62,648.38","8.93M","0.67%"
"2022- 11- 29","62,681.84","62,362.08","62,887.40","62,362.08","11.24M","0.28%"
"2022- 11- 28","62,504.80","62,016.35","62,701.40","61,959.74","6.97M","0.34%"
"2022- 11- 25","62,293.64","62,327.88","62,447.73","62,115.66","7.12M","0.03%"
"2022- 11- 24","62,272.68","61,656.00","62,412.33","61,600.42","7.66M","1.24%"
"2022- 11- 23","61,510.58","61,779.71","61,780.90","61,442.69","9.76M","0.15%"
"2022- 11- 22","61,418.96","61,126.56","61,466.63","61,073.68","9.74M","0.45%"
