"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","939.91","940.03","942.78","936.84","40.82K","0.02%"
"2022- 12- 21","939.70","943.40","947.90","940.16","110.47K","-0.35%"
"2022- 12- 20","943.00","954.08","956.83","939.55","125.85K","-1.13%"
"2022- 12- 19","953.75","957.64","959.14","949.13","107.00K","-0.19%"
"2022- 12- 16","955.54","965.96","966.78","954.11","103.88K","-0.99%"
"2022- 12- 15","965.09","956.39","970.42","954.66","113.50K","0.96%"
"2022- 12- 14","955.89","951.65","961.40","951.07","119.36K","0.50%"
"2022- 12- 13","951.18","958.47","966.68","951.41","122.01K","-0.67%"
"2022- 12- 12","957.61","956.53","961.28","953.02","108.18K","0.28%"
"2022- 12- 09","954.94","968.57","969.49","950.55","122.45K","-1.33%"
"2022- 12- 08","967.81","963.05","971.53","962.28","124.88K","0.53%"
"2022- 12- 07","962.70","966.88","971.64","961.79","131.60K","-0.39%"
"2022- 12- 06","966.45","960.80","973.14","958.01","131.10K","0.62%"
"2022- 12- 05","960.48","964.24","968.24","958.49","118.62K","-0.30%"
"2022- 12- 02","963.40","971.16","972.38","958.90","119.69K","-0.77%"
"2022- 12- 01","970.91","970.66","974.44","965.82","132.83K","0.03%"
"2022- 11- 30","970.58","976.20","978.91","967.61","125.85K","-0.54%"
"2022- 11- 29","975.82","993.57","995.54","971.87","123.55K","-1.66%"
"2022- 11- 28","992.33","996.87","999.65","991.70","117.92K","-0.52%"
"2022- 11- 25","997.52","995.78","999.86","990.25","104.49K","0.29%"
"2022- 11- 24","994.67","1,001.34","1,004.34","992.75","95.03K","-0.63%"
"2022- 11- 23","1,001.01","1,011.45","1,012.85","998.74","114.80K","-0.99%"
"2022- 11- 22","1,011.02","1,010.94","1,013.64","1,006.18","119.91K","0.05%"
