"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","20.07","20.07","20.07","20.07","","0.00%"
"2022- 12- 21","20.07","21.48","21.48","19.94","","-6.56%"
"2022- 12- 20","21.48","23.17","23.39","21.35","","-4.19%"
"2022- 12- 19","22.42","22.63","22.86","21.61","","-0.88%"
"2022- 12- 16","22.62","23.26","23.83","22.09","","-0.92%"
"2022- 12- 15","22.83","21.52","23.67","21.25","","7.99%"
"2022- 12- 14","21.14","22.83","23.47","21.07","","-6.25%"
"2022- 12- 13","22.55","25.24","25.84","21.46","","-9.80%"
"2022- 12- 12","25.00","24.40","25.05","24.18","","9.51%"
"2022- 12- 09","22.83","22.55","23.21","22.18","","2.42%"
"2022- 12- 08","22.29","22.81","23.28","22.06","","-1.72%"
"2022- 12- 07","22.68","22.32","23.01","22.18","","2.30%"
"2022- 12- 06","22.17","20.69","22.60","20.38","","6.84%"
"2022- 12- 05","20.75","20.30","21.29","19.78","","8.87%"
"2022- 12- 02","19.06","20.42","20.96","18.95","","-3.93%"
"2022- 12- 01","19.84","20.83","21.06","19.80","","-3.60%"
"2022- 11- 30","20.58","21.70","22.63","20.31","","-5.98%"
"2022- 11- 29","21.89","22.09","22.57","21.83","","-1.44%"
"2022- 11- 28","22.21","22.09","22.50","21.65","","8.34%"
"2022- 11- 25","20.50","20.61","21.11","20.46","","0.39%"
"2022- 11- 24","20.42","20.50","20.54","20.31","","0.34%"
"2022- 11- 23","20.35","21.49","21.78","20.32","","-4.42%"
"2022- 11- 22","21.29","22.59","22.71","21.28","","-4.79%"
