"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","1,380.96","1,380.11","1,385.52","1,377.33","33.23K","0.07%"
"2022- 12- 21","1,379.95","1,386.60","1,392.70","1,380.82","88.12K","-0.45%"
"2022- 12- 20","1,386.15","1,401.73","1,405.73","1,382.64","102.85K","-1.06%"
"2022- 12- 19","1,401.04","1,403.05","1,404.99","1,390.04","84.88K","-0.08%"
"2022- 12- 16","1,402.15","1,421.19","1,422.69","1,399.36","86.96K","-1.23%"
"2022- 12- 15","1,419.58","1,401.67","1,424.10","1,399.33","104.44K","1.33%"
"2022- 12- 14","1,400.91","1,388.13","1,410.62","1,386.59","108.30K","0.98%"
"2022- 12- 13","1,387.35","1,396.14","1,415.86","1,387.66","103.23K","-0.53%"
"2022- 12- 12","1,394.79","1,396.50","1,403.41","1,392.36","95.29K","-0.01%"
"2022- 12- 09","1,394.96","1,406.03","1,408.37","1,386.99","102.59K","-0.70%"
"2022- 12- 08","1,404.75","1,397.50","1,409.97","1,396.92","102.09K","0.57%"
"2022- 12- 07","1,396.79","1,401.78","1,409.41","1,393.12","107.29K","-0.31%"
"2022- 12- 06","1,401.20","1,385.39","1,407.94","1,381.46","107.97K","1.18%"
"2022- 12- 05","1,384.84","1,386.67","1,390.83","1,378.70","97.85K","-0.01%"
"2022- 12- 02","1,385.01","1,392.12","1,394.00","1,373.42","108.31K","-0.46%"
"2022- 12- 01","1,391.48","1,376.17","1,394.22","1,372.25","115.94K","1.14%"
"2022- 11- 30","1,375.81","1,389.74","1,394.15","1,374.89","111.55K","-0.97%"
"2022- 11- 29","1,389.27","1,413.07","1,415.36","1,387.40","107.53K","-1.54%"
"2022- 11- 28","1,411.01","1,411.13","1,421.73","1,408.52","104.82K","-0.01%"
"2022- 11- 25","1,411.10","1,407.98","1,414.62","1,398.51","92.77K","0.35%"
"2022- 11- 24","1,406.14","1,418.29","1,423.78","1,403.46","92.50K","-0.81%"
"2022- 11- 23","1,417.66","1,421.30","1,428.06","1,416.85","101.33K","-0.21%"
"2022- 11- 22","1,420.70","1,417.52","1,425.27","1,412.34","103.40K","0.26%"
