"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","182.89","183.49","183.90","182.50","","-0.18%"
"2022- 12- 21","183.22","184.44","185.15","183.33","","-0.61%"
"2022- 12- 20","184.34","186.49","187.04","183.99","","-1.09%"
"2022- 12- 19","186.37","188.08","188.27","185.94","","-0.72%"
"2022- 12- 16","187.72","189.21","189.29","187.29","","-0.68%"
"2022- 12- 15","189.01","186.44","189.40","186.11","","1.43%"
"2022- 12- 14","186.34","185.70","187.40","185.59","","0.40%"
"2022- 12- 13","185.59","187.32","188.21","185.59","","-0.85%"
"2022- 12- 12","187.18","187.39","188.63","186.79","","-0.07%"
"2022- 12- 09","187.31","189.00","189.20","186.65","","-0.78%"
"2022- 12- 08","188.79","188.59","189.84","188.54","","0.16%"
"2022- 12- 07","188.49","188.70","189.71","188.04","","-0.05%"
"2022- 12- 06","188.58","187.55","189.24","186.93","","0.59%"
"2022- 12- 05","187.48","185.08","187.74","184.13","","1.41%"
"2022- 12- 02","184.88","185.19","186.38","183.80","","-0.11%"
"2022- 12- 01","185.09","183.54","185.57","182.68","","0.92%"
"2022- 11- 30","183.41","185.17","186.18","183.38","","-0.89%"
"2022- 11- 29","185.06","186.11","186.30","184.30","","-0.42%"
"2022- 11- 28","185.84","186.45","187.02","185.07","","-0.20%"
"2022- 11- 25","186.21","185.68","186.55","184.27","","0.41%"
"2022- 11- 24","185.45","186.73","187.32","185.20","","-0.63%"
"2022- 11- 23","186.63","189.50","189.56","186.57","","-1.47%"
"2022- 11- 22","189.42","189.75","190.21","188.89","","-0.13%"
