"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","806.985","805.170","807.230","803.300","50.92K","0.26%"
"2022- 12- 21","804.880","815.125","817.180","805.030","137.77K","-1.21%"
"2022- 12- 20","814.770","828.755","829.940","810.240","154.92K","-1.63%"
"2022- 12- 19","828.270","833.725","837.585","825.705","125.39K","-0.77%"
"2022- 12- 16","834.660","837.355","838.235","829.760","123.88K","-0.22%"
"2022- 12- 15","836.460","836.640","841.000","833.610","132.49K","0.05%"
"2022- 12- 14","836.060","833.585","839.440","831.120","111.28K","0.36%"
"2022- 12- 13","833.040","834.305","851.545","830.595","114.06K","-0.04%"
"2022- 12- 12","833.410","835.970","839.660","831.375","97.06K","-0.24%"
"2022- 12- 09","835.390","839.995","840.925","827.625","107.19K","-0.44%"
"2022- 12- 08","839.100","835.070","841.395","832.845","106.61K","0.52%"
"2022- 12- 07","834.760","834.655","841.400","830.130","113.03K","0.08%"
"2022- 12- 06","834.110","824.635","838.240","823.280","113.71K","1.18%"
"2022- 12- 05","824.420","832.900","833.750","821.545","104.07K","-0.87%"
"2022- 12- 02","831.690","831.000","834.905","820.410","108.70K","0.14%"
"2022- 12- 01","830.530","819.940","834.140","817.610","121.08K","1.38%"
"2022- 11- 30","819.260","821.915","827.065","816.035","113.47K","-0.27%"
"2022- 11- 29","821.460","827.050","829.750","820.425","107.52K","-0.51%"
"2022- 11- 28","825.690","834.190","835.175","825.280","103.73K","-0.91%"
"2022- 11- 25","833.250","831.775","836.295","826.705","92.90K","0.27%"
"2022- 11- 24","831.040","834.210","837.470","827.165","81.07K","-0.33%"
"2022- 11- 23","833.790","831.155","840.660","828.730","96.79K","0.38%"
"2022- 11- 22","830.660","829.090","834.415","826.985","107.04K","0.23%"
