"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","18,133.90","18,284.30","18,314.20","18,068.95","132.76K","-0.36%"
"2022- 12- 21","18,199.10","18,435.15","18,473.35","18,162.75","187.59B","-1.01%"
"2022- 12- 20","18,385.30","18,340.30","18,404.90","18,202.65","169.04B","-0.19%"
"2022- 12- 19","18,420.45","18,288.10","18,431.65","18,244.55","154.85B","0.83%"
"2022- 12- 16","18,269.00","18,319.10","18,440.95","18,255.15","277.65B","-0.79%"
"2022- 12- 15","18,414.90","18,614.40","18,652.90","18,387.70","183.13B","-1.32%"
"2022- 12- 14","18,660.30","18,671.25","18,696.10","18,632.90","208.03B","0.28%"
"2022- 12- 13","18,608.00","18,524.40","18,617.25","18,490.20","187.59B","0.60%"
"2022- 12- 12","18,497.15","18,402.15","18,521.55","18,345.70","193.88B","0.00%"
"2022- 12- 09","18,496.60","18,662.40","18,664.70","18,410.10","215.84B","-0.61%"
"2022- 12- 08","18,609.35","18,570.85","18,625.00","18,536.95","202.81B","0.26%"
"2022- 12- 07","18,560.50","18,638.85","18,668.30","18,528.40","200.50B","-0.44%"
"2022- 12- 06","18,642.75","18,600.65","18,654.90","18,577.90","217.78B","-0.31%"
"2022- 12- 05","18,701.05","18,719.55","18,728.60","18,591.35","288.39B","0.03%"
"2022- 12- 02","18,696.10","18,752.40","18,781.95","18,639.20","254.40B","-0.62%"
"2022- 12- 01","18,812.50","18,871.95","18,887.60","18,778.20","324.96B","0.29%"
"2022- 11- 30","18,758.35","18,625.70","18,816.05","18,616.55","345.64B","0.75%"
"2022- 11- 29","18,618.05","18,552.45","18,678.10","18,552.15","195.26B","0.30%"
"2022- 11- 28","18,562.75","18,430.55","18,614.25","18,365.60","206.47B","0.27%"
"2022- 11- 25","18,512.75","18,528.45","18,534.90","18,445.10","205.88B","0.16%"
"2022- 11- 24","18,484.10","18,326.10","18,529.70","18,294.25","204.04B","1.19%"
"2022- 11- 23","18,267.25","18,325.20","18,325.40","18,246.00","178.79B","0.13%"
"2022- 11- 22","18,244.20","18,179.15","18,261.85","18,137.70","177.68B","0.46%"
