"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","5.64","5.66","5.68","5.63","","-0.30%"
"2022- 12- 21","5.66","5.68","5.72","5.66","","-0.32%"
"2022- 12- 20","5.68","5.78","5.80","5.67","","-1.84%"
"2022- 12- 19","5.78","5.82","5.82","5.76","","-0.63%"
"2022- 12- 18","5.82","5.82","5.82","5.82","","0.00%"
"2022- 12- 16","5.82","5.86","5.86","5.80","","-0.74%"
"2022- 12- 15","5.86","5.76","5.87","5.76","","1.75%"
"2022- 12- 14","5.76","5.73","5.80","5.73","","0.49%"
"2022- 12- 13","5.73","5.81","5.83","5.73","","-1.34%"
"2022- 12- 12","5.81","5.80","5.85","5.80","","0.16%"
"2022- 12- 11","5.80","5.80","5.80","5.80","","0.12%"
"2022- 12- 09","5.80","5.86","5.86","5.78","","-1.04%"
"2022- 12- 08","5.86","5.85","5.90","5.85","","0.00%"
"2022- 12- 07","5.85","5.88","5.90","5.84","","-0.51%"
"2022- 12- 06","5.88","5.81","5.90","5.80","","1.20%"
"2022- 12- 05","5.81","5.80","5.82","5.75","","0.32%"
"2022- 12- 04","5.80","5.80","5.80","5.80","","0.14%"
"2022- 12- 02","5.79","5.81","5.83","5.77","","-0.35%"
"2022- 12- 01","5.81","5.81","5.84","5.77","","-0.11%"
"2022- 11- 30","5.81","5.90","5.92","5.79","","-1.38%"
"2022- 11- 29","5.90","5.97","5.98","5.89","","-1.31%"
"2022- 11- 28","5.97","5.95","5.99","5.92","","0.48%"
"2022- 11- 27","5.95","5.95","5.95","5.95","","0.00%"
"2022- 11- 25","5.95","5.91","5.97","5.88","","0.59%"
"2022- 11- 24","5.91","5.96","5.97","5.90","","-0.76%"
"2022- 11- 23","5.96","6.03","6.07","5.95","","-1.31%"
"2022- 11- 22","6.03","6.06","6.08","6.02","","-0.35%"
