"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","3,878.44","3,839.49","3,889.82","3,839.49","","1.49%"
"2022- 12- 20","3,821.62","3,810.47","3,838.24","3,795.62","","0.10%"
"2022- 12- 19","3,817.66","3,853.79","3,854.86","3,800.04","","-0.90%"
"2022- 12- 16","3,852.36","3,890.91","3,890.91","3,827.91","","-1.11%"
"2022- 12- 15","3,895.75","3,958.37","3,958.37","3,879.45","","-2.49%"
"2022- 12- 14","3,995.32","4,015.54","4,053.76","3,965.65","","-0.61%"
"2022- 12- 13","4,019.65","4,069.38","4,100.96","3,993.03","","0.73%"
"2022- 12- 12","3,990.56","3,939.29","3,990.71","3,935.30","","1.43%"
"2022- 12- 09","3,934.38","3,954.17","3,977.02","3,933.04","","-0.73%"
"2022- 12- 08","3,963.51","3,947.79","3,974.19","3,935.83","","0.75%"
"2022- 12- 07","3,933.92","3,933.28","3,957.57","3,922.68","","-0.19%"
"2022- 12- 06","3,941.26","3,996.63","4,001.51","3,918.39","","-1.44%"
"2022- 12- 05","3,998.84","4,052.02","4,052.45","3,984.49","","-1.79%"
"2022- 12- 02","4,071.70","4,040.17","4,080.48","4,026.63","","-0.12%"
"2022- 12- 01","4,076.57","4,087.14","4,100.51","4,050.87","","-0.09%"
"2022- 11- 30","4,080.11","3,957.18","4,080.11","3,938.58","","3.09%"
"2022- 11- 29","3,957.63","3,964.19","3,976.77","3,937.65","","-0.16%"
"2022- 11- 28","3,963.94","4,005.36","4,012.27","3,955.77","","-1.54%"
"2022- 11- 25","4,026.12","4,023.34","4,034.02","4,020.76","","-0.03%"
"2022- 11- 23","4,027.26","4,000.30","4,033.78","3,998.66","","0.59%"
"2022- 11- 22","4,003.58","3,965.51","4,005.88","3,956.88","","1.36%"
