"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","50,426.26","50,182.33","50,791.38","50,034.85","96.01M","0.57%"
"2022- 12- 20","50,139.42","49,978.45","50,406.57","49,978.45","101.78M","0.39%"
"2022- 12- 19","49,946.10","49,694.69","50,058.30","49,534.65","96.80M","0.64%"
"2022- 12- 16","49,630.15","49,361.51","49,686.79","49,113.71","377.28M","0.58%"
"2022- 12- 15","49,342.34","49,972.95","49,976.49","49,281.23","278.21M","-1.41%"
"2022- 12- 14","50,047.70","50,430.94","50,452.64","49,781.72","170.81M","-0.57%"
"2022- 12- 13","50,333.10","50,638.82","51,084.44","50,240.45","284.65M","-0.26%"
"2022- 12- 09","50,466.25","51,170.62","51,170.89","50,423.74","121.54M","-1.20%"
"2022- 12- 08","51,078.70","50,721.50","51,298.86","50,721.50","123.03M","0.70%"
"2022- 12- 07","50,725.96","51,044.03","51,311.40","50,645.19","141.20M","-0.58%"
"2022- 12- 06","51,020.65","50,683.10","51,481.81","50,494.63","149.91M","0.44%"
"2022- 12- 05","50,799.46","51,197.73","51,298.01","50,715.01","105.07M","-0.85%"
"2022- 12- 02","51,234.37","51,407.96","51,647.85","51,030.43","153.35M","-0.43%"
"2022- 12- 01","51,457.55","51,649.60","51,811.17","51,027.58","185.46M","-0.44%"
"2022- 11- 30","51,684.86","50,200.93","51,800.36","50,125.81","741.51M","3.01%"
"2022- 11- 29","50,174.06","51,044.43","51,237.91","50,111.49","164.54M","-1.78%"
"2022- 11- 28","51,081.33","51,619.81","52,120.23","51,030.90","132.15M","-1.14%"
"2022- 11- 25","51,668.64","51,968.32","51,968.32","51,289.91","74.04M","-0.60%"
"2022- 11- 24","51,979.01","51,990.61","52,245.08","51,714.18","28.41M","-0.03%"
"2022- 11- 23","51,993.95","51,710.02","52,258.73","51,710.02","161.11M","0.45%"
"2022- 11- 22","51,760.54","51,614.16","52,371.02","51,579.28","221.26M","0.37%"
