"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","339.47","340.59","341.35","338.54","","-0.17%"
"2022- 12- 21","340.03","341.42","342.97","340.31","","-0.35%"
"2022- 12- 20","341.23","346.04","347.06","340.70","","-1.32%"
"2022- 12- 19","345.81","348.29","349.07","344.76","","-0.66%"
"2022- 12- 16","348.12","350.89","351.07","346.96","","-0.70%"
"2022- 12- 15","350.57","344.66","351.18","344.05","","1.77%"
"2022- 12- 14","344.48","343.01","346.42","342.79","","0.47%"
"2022- 12- 13","342.85","347.53","348.29","342.80","","-1.26%"
"2022- 12- 12","347.22","346.83","349.46","346.52","","0.16%"
"2022- 12- 09","346.68","350.15","350.73","345.41","","-0.89%"
"2022- 12- 08","349.80","349.65","352.09","349.57","","0.08%"
"2022- 12- 07","349.52","351.15","352.85","349.13","","-0.42%"
"2022- 12- 06","351.01","347.36","351.92","346.22","","1.08%"
"2022- 12- 05","347.25","345.40","347.71","343.02","","0.60%"
"2022- 12- 02","345.18","347.00","348.10","344.62","","-0.49%"
"2022- 12- 01","346.87","346.27","348.00","344.50","","0.18%"
"2022- 11- 30","346.23","352.74","353.89","345.97","","-1.82%"
"2022- 11- 29","352.63","356.92","357.37","352.03","","-1.07%"
"2022- 11- 28","356.46","355.41","357.37","354.55","","0.38%"
"2022- 11- 25","355.10","353.42","355.75","351.07","","0.60%"
"2022- 11- 24","353.00","355.76","356.73","352.34","","-0.75%"
"2022- 11- 23","355.67","359.99","360.74","355.46","","-1.16%"
"2022- 11- 22","359.84","361.76","362.66","359.47","","-0.50%"
