"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","1,806.91","1,795.87","1,806.91","1,792.73","25.57M","0.94%"
"2022- 12- 20","1,790.05","1,786.73","1,805.78","1,784.16","29.94M","-0.64%"
"2022- 12- 19","1,801.51","1,799.27","1,810.64","1,798.13","33.88M","0.15%"
"2022- 12- 18","1,798.87","1,797.99","1,801.11","1,792.23","11.55M","-1.19%"
"2022- 12- 15","1,820.54","1,819.43","1,832.91","1,814.63","38.37M","-0.96%"
"2022- 12- 14","1,838.18","1,850.87","1,851.27","1,835.48","25.91M","-0.98%"
"2022- 12- 13","1,856.46","1,845.49","1,878.66","1,838.78","34.98M","1.12%"
"2022- 12- 12","1,835.82","1,842.86","1,844.47","1,830.84","30.33M","-0.36%"
"2022- 12- 11","1,842.43","1,840.19","1,843.92","1,831.04","10.41M","-0.26%"
"2022- 12- 08","1,847.23","1,826.87","1,848.88","1,824.48","38.66M","1.11%"
"2022- 12- 07","1,826.93","1,846.19","1,847.87","1,824.80","28.19M","-1.32%"
"2022- 12- 06","1,851.41","1,864.29","1,868.99","1,847.29","26.32M","-0.98%"
"2022- 12- 05","1,869.67","1,868.48","1,878.81","1,864.97","30.21M","-0.03%"
"2022- 12- 04","1,870.21","1,875.35","1,877.98","1,864.93","7.74M","-0.25%"
"2022- 12- 01","1,874.88","1,877.78","1,881.14","1,867.71","51.77M","1.39%"
"2022- 11- 30","1,849.17","1,864.12","1,875.21","1,849.17","65.44M","-0.87%"
"2022- 11- 29","1,865.42","1,842.61","1,867.39","1,825.35","35.44M","1.38%"
"2022- 11- 28","1,840.08","1,856.61","1,856.61","1,833.89","29.00M","-1.13%"
"2022- 11- 27","1,861.04","1,879.79","1,881.10","1,858.12","10.03M","-0.97%"
"2022- 11- 24","1,879.21","1,875.12","1,891.30","1,874.56","48.21M","0.05%"
"2022- 11- 23","1,878.32","1,896.44","1,904.61","1,877.31","28.80M","-0.69%"
"2022- 11- 22","1,891.35","1,880.90","1,893.21","1,872.04","25.06M","0.78%"
