"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","1,041.62","1,033.72","1,048.84","1,031.29","181.12K","0.82%"
"2022- 12- 21","1,033.10","1,041.05","1,041.65","1,011.90","212.81K","0.32%"
"2022- 12- 20","1,029.79","1,048.17","1,049.39","1,015.66","283.48K","-1.95%"
"2022- 12- 19","1,050.22","1,063.72","1,081.55","1,050.22","258.39K","-1.30%"
"2022- 12- 16","1,064.07","1,061.58","1,077.27","1,058.88","249.61K","-0.38%"
"2022- 12- 15","1,068.08","1,055.80","1,076.03","1,055.49","248.62K","1.13%"
"2022- 12- 14","1,056.17","1,056.76","1,071.02","1,052.25","192.53K","-0.02%"
"2022- 12- 13","1,056.43","1,038.63","1,056.43","1,028.37","241.92K","1.83%"
"2022- 12- 12","1,037.42","1,071.27","1,073.44","1,037.42","219.92K","-2.60%"
"2022- 12- 09","1,065.08","1,069.38","1,076.67","1,051.62","236.86K","0.22%"
"2022- 12- 08","1,062.73","1,061.99","1,093.64","1,055.63","304.56K","1.45%"
"2022- 12- 07","1,047.58","1,051.55","1,064.73","1,037.15","242.09K","-0.61%"
"2022- 12- 06","1,054.06","1,109.50","1,109.50","1,054.06","405.65K","-5.12%"
"2022- 12- 05","1,110.94","1,094.39","1,120.56","1,094.39","375.07K","1.64%"
"2022- 12- 02","1,092.99","1,038.11","1,092.99","1,037.08","331.17K","4.83%"
"2022- 12- 01","1,042.64","1,059.80","1,073.32","1,040.95","434.44K","-0.63%"
"2022- 11- 30","1,049.21","1,034.78","1,049.21","1,018.59","264.70K","1.96%"
"2022- 11- 29","1,029.04","1,007.58","1,029.04","995.12","366.39K","2.46%"
"2022- 11- 28","1,004.34","974.42","1,006.06","974.23","398.08K","3.81%"
"2022- 11- 25","967.49","948.66","967.49","947.56","170.89K","2.84%"
"2022- 11- 24","940.76","932.69","941.69","925.55","136.32K","0.22%"
"2022- 11- 23","938.73","939.08","951.86","933.26","154.60K","-0.72%"
"2022- 11- 22","945.54","956.31","985.18","941.85","368.68K","-1.19%"
