"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","447.60","449.30","452.00","443.40","36.36M","-0.40%"
"2022- 12- 21","449.40","453.70","456.70","441.50","16.78M","-0.95%"
"2022- 12- 20","453.70","446.00","459.70","442.60","17.62M","1.73%"
"2022- 12- 19","446.00","464.10","466.40","440.20","30.63M","-3.90%"
"2022- 12- 18","464.10","470.10","470.90","463.50","5.05M","-1.30%"
"2022- 12- 17","470.20","469.50","475.00","460.30","15.16M","0.15%"
"2022- 12- 16","469.50","499.70","499.80","461.00","41.64M","-6.04%"
"2022- 12- 15","499.70","503.50","506.00","494.80","17.58M","-0.77%"
"2022- 12- 14","503.60","514.80","515.00","497.00","29.58M","-2.18%"
"2022- 12- 13","514.80","513.80","519.70","500.10","19.69M","0.19%"
"2022- 12- 12","513.80","507.40","516.60","495.50","18.86M","1.26%"
"2022- 12- 11","507.40","515.30","517.00","505.50","15.35M","-1.53%"
"2022- 12- 10","515.30","518.70","519.00","514.40","9.99M","-0.66%"
"2022- 12- 09","518.70","524.20","525.40","513.60","11.71M","-1.07%"
"2022- 12- 08","524.30","513.00","526.00","513.00","18.38M","2.14%"
"2022- 12- 07","513.30","522.80","524.10","502.20","15.21M","-1.84%"
"2022- 12- 06","522.90","521.80","523.80","511.10","15.84M","0.15%"
"2022- 12- 05","522.10","522.10","525.80","513.50","20.91M","0.02%"
"2022- 12- 04","522.00","523.80","527.60","519.70","15.21M","-0.34%"
"2022- 12- 03","523.80","530.20","533.30","521.10","18.02M","-1.21%"
"2022- 12- 02","530.20","537.40","537.70","516.40","12.51M","-1.34%"
"2022- 12- 01","537.40","551.70","553.10","534.60","17.98M","-2.59%"
"2022- 11- 30","551.70","542.50","555.10","534.40","34.53M","1.70%"
"2022- 11- 29","542.50","535.00","549.80","525.50","28.19M","1.29%"
"2022- 11- 28","535.60","546.10","548.50","518.00","37.12M","-1.92%"
"2022- 11- 27","546.10","545.50","563.80","543.40","49.41M","0.17%"
"2022- 11- 26","545.20","559.40","567.70","541.80","34.65M","-2.59%"
"2022- 11- 25","559.70","549.60","573.00","533.60","21.35M","1.84%"
"2022- 11- 24","549.60","527.30","553.40","510.10","43.62M","4.19%"
"2022- 11- 23","527.50","521.90","528.60","513.50","25.16M","1.07%"
"2022- 11- 22","521.90","512.00","526.30","494.50","20.77M","1.93%"
