"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","19,571.10","19,447.30","19,598.70","19,447.30","215.84M","1.37%"
"2022- 12- 20","19,306.89","19,213.45","19,379.11","19,196.51","256.45M","0.55%"
"2022- 12- 19","19,200.76","19,455.60","19,485.31","19,159.58","288.09M","-1.25%"
"2022- 12- 16","19,443.28","19,429.24","19,504.22","19,352.80","543.39M","-0.80%"
"2022- 12- 15","19,600.63","19,722.91","19,726.58","19,512.87","278.52M","-1.46%"
"2022- 12- 14","19,891.65","20,022.60","20,081.79","19,863.98","263.78M","-0.66%"
"2022- 12- 13","20,023.46","20,312.85","20,341.26","19,955.63","278.27M","0.02%"
"2022- 12- 12","20,019.70","19,841.13","20,019.94","19,834.33","305.80M","0.36%"
"2022- 12- 09","19,947.07","19,990.09","20,086.26","19,944.80","215.72M","-0.11%"
"2022- 12- 08","19,969.19","20,044.87","20,086.40","19,947.18","240.25M","-0.02%"
"2022- 12- 07","19,973.22","19,971.25","20,093.02","19,957.62","241.43M","-0.08%"
"2022- 12- 06","19,990.17","20,262.04","20,306.56","19,960.02","273.03M","-1.25%"
"2022- 12- 05","20,242.26","20,453.68","20,476.35","20,203.95","293.49M","-1.19%"
"2022- 12- 02","20,485.66","20,364.37","20,554.53","20,364.37","264.75M","-0.19%"
"2022- 12- 01","20,525.45","20,541.19","20,639.48","20,486.26","234.42M","0.35%"
"2022- 11- 30","20,453.26","20,341.73","20,456.62","20,137.12","510.92M","0.87%"
"2022- 11- 29","20,277.41","20,319.78","20,322.70","20,229.28","240.66M","0.28%"
"2022- 11- 28","20,220.49","20,310.04","20,397.92","20,178.80","276.02M","-0.80%"
"2022- 11- 25","20,383.77","20,348.87","20,446.28","20,342.24","157.06M","0.20%"
"2022- 11- 24","20,344.07","20,309.15","20,386.69","20,309.15","88.11M","0.30%"
"2022- 11- 23","20,282.26","20,185.08","20,303.63","20,185.08","238.32M","0.31%"
"2022- 11- 22","20,220.01","20,060.52","20,236.50","20,048.64","221.85M","1.22%"
