"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","14,442.94","14,234.40","14,442.94","14,234.40","","1.47%"
"2022- 12- 21","14,234.40","14,205.06","14,291.98","14,197.86","3.23B","0.45%"
"2022- 12- 20","14,170.03","14,410.75","14,451.91","14,157.99","3.68B","-1.82%"
"2022- 12- 19","14,433.32","14,478.45","14,493.72","14,411.81","3.21B","-0.66%"
"2022- 12- 16","14,528.55","14,554.21","14,568.31","14,447.77","4.45B","-1.40%"
"2022- 12- 15","14,734.13","14,692.92","14,756.38","14,649.54","2.57B","-0.04%"
"2022- 12- 14","14,739.36","14,557.56","14,739.36","14,557.56","2.64B","1.49%"
"2022- 12- 13","14,522.96","14,617.86","14,658.70","14,515.74","2.73B","-0.61%"
"2022- 12- 12","14,612.59","14,658.46","14,658.46","14,538.66","2.22B","-0.63%"
"2022- 12- 09","14,705.43","14,620.27","14,742.79","14,620.27","2.54B","1.05%"
"2022- 12- 08","14,553.04","14,631.21","14,634.16","14,464.20","2.43B","-0.53%"
"2022- 12- 07","14,630.01","14,708.08","14,823.15","14,630.01","3.27B","-0.67%"
"2022- 12- 06","14,728.88","14,955.29","14,957.82","14,728.88","3.22B","-1.68%"
"2022- 12- 05","14,980.74","14,972.17","15,088.06","14,969.97","3.22B","0.07%"
"2022- 12- 02","14,970.68","14,933.20","15,021.73","14,921.06","3.00B","-0.28%"
"2022- 12- 01","15,012.80","15,059.92","15,152.38","14,998.03","3.77B","0.90%"
"2022- 11- 30","14,879.55","14,678.23","14,879.55","14,678.23","4.46B","1.16%"
"2022- 11- 29","14,709.64","14,503.79","14,716.58","14,449.05","3.14B","1.05%"
"2022- 11- 28","14,556.87","14,636.90","14,638.19","14,503.12","2.57B","-1.50%"
"2022- 11- 25","14,778.51","14,764.94","14,835.66","14,756.01","2.81B","-0.04%"
"2022- 11- 24","14,784.00","14,649.80","14,784.00","14,649.80","2.62B","1.20%"
"2022- 11- 23","14,608.54","14,595.50","14,647.98","14,573.41","2.35B","0.46%"
"2022- 11- 22","14,542.20","14,404.08","14,542.79","14,371.09","2.28B","0.64%"
