"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","1,776.94","1,757.69","1,784.11","1,757.69","","1.65%"
"2022- 12- 20","1,748.02","1,735.47","1,755.08","1,733.21","","0.54%"
"2022- 12- 19","1,738.58","1,763.94","1,765.54","1,733.82","","-1.41%"
"2022- 12- 16","1,763.42","1,759.55","1,765.64","1,746.25","","-0.63%"
"2022- 12- 15","1,774.61","1,806.74","1,806.74","1,770.56","","-2.52%"
"2022- 12- 14","1,820.45","1,831.23","1,845.77","1,812.30","","-0.65%"
"2022- 12- 13","1,832.36","1,851.83","1,880.76","1,823.00","","0.76%"
"2022- 12- 12","1,818.61","1,798.79","1,820.50","1,793.11","","1.22%"
"2022- 12- 09","1,796.66","1,812.15","1,815.81","1,796.66","","-1.19%"
"2022- 12- 08","1,818.29","1,815.71","1,833.75","1,808.85","","0.63%"
"2022- 12- 07","1,806.90","1,809.17","1,822.70","1,805.66","","-0.31%"
"2022- 12- 06","1,812.58","1,839.54","1,839.54","1,802.95","","-1.50%"
"2022- 12- 05","1,840.22","1,886.01","1,886.01","1,834.42","","-2.78%"
"2022- 12- 02","1,892.84","1,863.94","1,898.45","1,856.48","","0.59%"
"2022- 12- 01","1,881.68","1,891.98","1,898.27","1,876.93","","-0.26%"
"2022- 11- 30","1,886.58","1,839.13","1,886.58","1,821.46","","2.72%"
"2022- 11- 29","1,836.55","1,832.52","1,846.07","1,832.52","","0.31%"
"2022- 11- 28","1,830.96","1,857.18","1,857.52","1,827.08","","-2.05%"
"2022- 11- 25","1,869.19","1,862.92","1,873.59","1,861.00","","0.30%"
"2022- 11- 23","1,863.52","1,857.59","1,868.92","1,851.68","","0.17%"
"2022- 11- 22","1,860.44","1,843.87","1,861.08","1,840.04","","1.30%"
