"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","768.10","767.50","770.50","764.88","","0.05%"
"2022- 12- 21","767.75","750.00","774.50","748.75","52.90K","2.30%"
"2022- 12- 20","750.50","747.25","761.50","744.75","38.34K","0.27%"
"2022- 12- 19","748.50","755.00","759.75","738.75","39.78K","-0.66%"
"2022- 12- 16","753.50","758.25","764.25","750.75","32.61K","-0.50%"
"2022- 12- 15","757.25","749.75","767.00","745.00","51.21K","3.98%"
"2022- 12- 14","728.25","750.00","751.75","737.75","0.07K","-0.07%"
"2022- 12- 13","728.75","741.00","742.50","741.00","0.10K","-0.58%"
"2022- 12- 12","733.00","741.75","760.00","738.25","0.26K","2.84%"
"2022- 12- 09","712.75","749.75","752.50","730.75","0.05K","-1.59%"
"2022- 12- 08","724.25","721.00","726.75","721.00","0.23K","-0.38%"
"2022- 12- 07","727.00","727.25","728.75","727.25","0.41K","3.05%"
"2022- 12- 06","705.50","715.75","715.75","702.50","0.24K","-1.40%"
"2022- 12- 05","715.50","730.50","730.50","722.25","0.13K","-2.95%"
"2022- 12- 02","737.25","750.00","750.00","738.50","0.52K","-5.84%"
"2022- 12- 01","783.00","795.25","797.25","780.50","41.09K","-1.57%"
"2022- 11- 30","795.50","784.00","799.25","781.50","45.18K","1.79%"
"2022- 11- 29","781.50","780.25","792.00","777.50","51.02K","0.10%"
"2022- 11- 28","780.75","793.25","796.25","773.25","76.46K","-2.04%"
"2022- 11- 25","797.00","809.75","820.25","792.50","34.41K","0.58%"
"2022- 11- 24","792.38","793.25","793.25","791.62","","-2.60%"
"2022- 11- 23","813.50","811.75","817.00","800.25","42.85K","0.37%"
"2022- 11- 22","810.50","816.50","825.00","809.00","36.92K","1.41%"
