"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","107,433","106,866","107,991","106,066","17.63M","0.53%"
"2022- 12- 20","106,864","104,740","107,792","104,607","19.13M","2.03%"
"2022- 12- 19","104,740","102,859","105,107","102,770","16.77M","1.83%"
"2022- 12- 16","102,856","103,737","104,018","102,248","18.26M","-0.85%"
"2022- 12- 15","103,738","103,739","105,483","103,014","15.57M","-0.01%"
"2022- 12- 14","103,746","103,536","104,516","101,632","24.92M","0.20%"
"2022- 12- 13","103,540","105,345","106,689","103,409","17.70M","-1.71%"
"2022- 12- 12","105,343","107,518","107,561","103,877","15.48M","-2.02%"
"2022- 12- 09","107,520","107,250","108,566","107,089","10.68M","0.25%"
"2022- 12- 08","107,249","109,068","109,286","106,906","14.92M","-1.67%"
"2022- 12- 07","109,069","110,188","110,247","108,612","13.83M","-1.02%"
"2022- 12- 06","110,189","109,403","110,663","109,217","13.44M","0.72%"
"2022- 12- 05","109,401","111,922","112,150","109,270","12.31M","-2.25%"
"2022- 12- 02","111,924","110,926","113,761","109,963","15.98M","0.90%"
"2022- 12- 01","110,926","112,479","112,479","110,548","15.19M","-1.39%"
"2022- 11- 30","112,486","110,910","112,486","110,202","19.70M","1.42%"
"2022- 11- 29","110,910","108,784","112,187","108,784","14.72M","1.96%"
"2022- 11- 28","108,782","108,977","109,476","108,378","11.49M","-0.18%"
"2022- 11- 25","108,977","111,831","112,025","108,552","12.31M","-2.55%"
"2022- 11- 24","111,831","108,846","112,612","108,846","10.30M","2.75%"
"2022- 11- 23","108,841","109,036","109,285","107,902","13.20M","-0.18%"
"2022- 11- 22","109,037","109,750","110,224","107,867","15.06M","-0.65%"
