"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","8,302.30","8,220.00","8,312.20","8,201.70","146.34M","1.43%"
"2022- 12- 20","8,185.20","8,080.30","8,216.90","8,059.50","181.95M","0.59%"
"2022- 12- 19","8,136.80","8,122.30","8,180.30","8,109.40","129.23M","0.30%"
"2022- 12- 16","8,112.50","8,188.80","8,192.10","8,079.80","387.74M","-1.29%"
"2022- 12- 15","8,218.80","8,314.80","8,332.40","8,195.90","216.85M","-1.70%"
"2022- 12- 14","8,360.60","8,322.40","8,360.60","8,297.90","160.33M","0.40%"
"2022- 12- 13","8,327.70","8,266.00","8,415.70","8,213.20","206.58M","0.83%"
"2022- 12- 12","8,258.90","8,260.50","8,270.20","8,222.50","116.66M","-0.37%"
"2022- 12- 09","8,289.20","8,262.90","8,293.70","8,194.90","131.66M","0.78%"
"2022- 12- 08","8,225.20","8,307.90","8,308.60","8,225.20","118.77M","-0.79%"
"2022- 12- 07","8,290.50","8,308.10","8,344.00","8,279.80","129.31M","-0.50%"
"2022- 12- 06","8,331.90","8,332.60","8,355.90","8,296.40","123.95M","-0.46%"
"2022- 12- 05","8,370.10","8,372.80","8,395.70","8,358.80","103.86M","-0.15%"
"2022- 12- 02","8,382.60","8,390.00","8,414.10","8,342.30","146.28M","-0.30%"
"2022- 12- 01","8,407.90","8,426.20","8,469.00","8,381.80","209.72M","0.53%"
"2022- 11- 30","8,363.20","8,350.40","8,364.60","8,304.40","325.06M","0.49%"
"2022- 11- 29","8,322.10","8,348.50","8,354.50","8,282.80","145.89M","-0.01%"
"2022- 11- 28","8,323.20","8,380.70","8,396.40","8,316.70","125.89M","-1.11%"
"2022- 11- 25","8,416.60","8,391.70","8,425.50","8,378.20","135.91M","0.34%"
"2022- 11- 24","8,388.10","8,341.30","8,412.50","8,339.20","137.79M","0.68%"
"2022- 11- 23","8,331.20","8,338.80","8,344.00","8,288.40","154.54M","0.07%"
"2022- 11- 22","8,325.00","8,203.30","8,345.60","8,200.30","215.62M","1.67%"
