"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 22","24.000","24.177","24.310","23.942","","-0.80%"
"2022- 12- 21","24.194","24.395","24.525","24.055","","-0.32%"
"2022- 12- 20","24.271","23.180","24.490","23.050","72.52K","4.62%"
"2022- 12- 19","23.199","23.415","23.625","23.030","33.18K","-0.62%"
"2022- 12- 18","23.343","23.413","23.413","23.332","","0.06%"
"2022- 12- 16","23.328","23.270","23.445","22.735","51.26K","0.10%"
"2022- 12- 15","23.305","24.180","24.180","23.155","61.90K","-3.44%"
"2022- 12- 14","24.136","23.965","24.275","23.605","51.52K","0.61%"
"2022- 12- 13","23.990","23.520","24.390","23.490","74.31K","2.51%"
"2022- 12- 12","23.403","23.650","23.765","23.320","39.13K","-0.74%"
"2022- 12- 11","23.578","23.688","23.730","23.567","","-0.59%"
"2022- 12- 09","23.717","23.305","23.900","23.140","53.44K","2.03%"
"2022- 12- 08","23.246","22.920","23.425","22.725","44.88K","1.41%"
"2022- 12- 07","22.922","22.350","23.010","22.255","51.54K","2.63%"
"2022- 12- 06","22.335","22.435","22.780","22.190","49.86K","-0.37%"
"2022- 12- 05","22.417","23.290","23.690","22.350","72.92K","-4.48%"
"2022- 12- 04","23.468","23.328","23.488","23.297","","0.94%"
"2022- 12- 02","23.250","22.975","23.475","22.480","74.94K","1.79%"
"2022- 12- 01","22.841","22.410","23.005","22.240","73.64K","4.87%"
"2022- 11- 30","21.781","21.415","22.410","21.355","63.51K","1.61%"
"2022- 11- 29","21.436","21.130","21.635","21.060","46.73K","1.47%"
"2022- 11- 28","21.125","21.640","21.815","21.045","59.18K","-0.79%"
"2022- 11- 27","21.293","21.395","21.410","21.285","","-1.46%"
"2022- 11- 25","21.609","21.785","21.880","21.355","30.82K","0.47%"
"2022- 11- 24","21.508","21.637","21.730","21.488","","-0.08%"
"2022- 11- 23","21.526","21.260","21.780","21.095","20.92K","1.40%"
"2022- 11- 22","21.229","21.050","21.555","21.050","22.91K","1.71%"
