"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","24,111.97","23,820.00","24,111.97","23,757.35","332.79M","1.66%"
"2022- 12- 20","23,718.25","23,411.09","23,758.60","23,353.17","371.10M","0.15%"
"2022- 12- 19","23,683.54","23,764.54","23,911.84","23,660.58","335.97M","-0.02%"
"2022- 12- 16","23,688.16","23,738.67","23,814.76","23,505.34","668.73M","-0.16%"
"2022- 12- 15","23,726.05","24,423.79","24,480.57","23,726.05","568.09M","-3.45%"
"2022- 12- 14","24,573.93","24,588.27","24,666.68","24,514.09","314.55M","-0.26%"
"2022- 12- 13","24,636.94","24,396.00","24,899.20","24,292.39","464.19M","1.37%"
"2022- 12- 12","24,303.68","24,173.20","24,352.55","24,132.58","345.23M","0.11%"
"2022- 12- 09","24,277.49","24,333.38","24,333.38","23,940.98","396.14M","0.29%"
"2022- 12- 08","24,207.42","24,277.60","24,299.84","24,103.31","243.50M","-0.14%"
"2022- 12- 07","24,241.35","24,255.86","24,428.77","24,155.42","317.70M","-0.10%"
"2022- 12- 06","24,265.45","24,511.16","24,582.29","24,265.45","463.52M","-1.15%"
"2022- 12- 05","24,547.84","24,606.70","24,674.02","24,495.36","271.91M","-0.30%"
"2022- 12- 02","24,621.72","24,625.37","24,701.67","24,414.63","354.86M","-0.26%"
"2022- 12- 01","24,685.67","24,805.53","24,857.02","24,598.67","619.55M","0.31%"
"2022- 11- 30","24,610.29","24,585.40","24,685.00","24,474.55","681.50M","0.59%"
"2022- 11- 29","24,465.95","24,532.99","24,562.38","24,252.57","359.52M","0.10%"
"2022- 11- 28","24,440.88","24,556.57","24,600.04","24,407.48","377.82M","-1.12%"
"2022- 11- 25","24,718.81","24,744.49","24,803.45","24,655.94","255.54M","-0.05%"
"2022- 11- 24","24,730.89","24,634.30","24,761.27","24,593.41","311.23M","0.61%"
"2022- 11- 23","24,581.14","24,612.91","24,612.91","24,398.94","427.04M","-0.04%"
"2022- 11- 22","24,590.50","24,456.20","24,656.77","24,351.30","356.51M","0.96%"
