"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 21","45,589.30","45,481.08","45,686.14","45,201.14","","0.24%"
"2022- 12- 20","45,481.08","45,267.23","45,502.77","44,739.10","","0.47%"
"2022- 12- 19","45,270.04","44,918.95","45,494.53","44,800.37","","0.45%"
"2022- 12- 16","45,069.12","44,792.95","45,107.70","44,100.39","","0.58%"
"2022- 12- 15","44,809.64","45,110.68","45,122.81","44,516.04","","-0.61%"
"2022- 12- 14","45,084.89","44,928.60","45,281.34","44,880.33","","0.35%"
"2022- 12- 13","44,928.04","43,955.02","45,144.55","43,955.02","","2.22%"
"2022- 12- 12","43,950.53","44,181.29","44,398.13","43,781.70","","-0.52%"
"2022- 12- 09","44,182.00","43,885.75","44,634.80","43,885.75","","0.77%"
"2022- 12- 08","43,842.37","44,595.54","44,595.54","43,625.85","","-1.73%"
"2022- 12- 07","44,614.88","45,333.63","45,764.19","44,580.68","","-1.59%"
"2022- 12- 06","45,333.63","44,599.27","45,470.65","44,207.42","","1.49%"
"2022- 12- 05","44,666.01","45,802.90","45,804.22","44,580.69","","-2.49%"
"2022- 12- 02","45,804.29","46,366.99","46,366.99","45,538.95","","-1.22%"
"2022- 12- 01","46,368.37","45,984.32","46,471.08","45,798.11","","0.84%"
"2022- 11- 30","45,984.19","45,785.25","46,082.73","45,556.97","","0.44%"
"2022- 11- 29","45,780.62","45,580.45","46,295.33","45,428.52","","0.42%"
"2022- 11- 28","45,588.74","45,715.33","45,952.22","45,484.64","","-0.28%"
"2022- 11- 25","45,715.33","45,280.29","45,849.74","44,946.29","","0.97%"
"2022- 11- 24","45,276.59","44,930.66","45,368.18","44,601.12","","0.77%"
"2022- 11- 23","44,930.52","45,418.54","45,883.07","44,337.84","","-0.89%"
"2022- 11- 22","45,335.11","44,601.50","45,464.78","44,601.50","","1.66%"
