종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2235","-80","-3.46","2315","2425","2235","280102","643811680","108479394870","48536642"
"095570","AJ네트웍스","KOSPI",,"5820","-70","-1.19","5890","5890","5730","94283","547540810","272505756900","46822295"
"006840","AK홀딩스","KOSPI",,"16450","-450","-2.66","16750","16900","15900","11841","194112600","217922378450","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","14300","1000","7.52","13400","14400","12900","658325","9157497750","291637360300","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","18250","-450","-2.41","18650","18650","18150","54100","994317450","278885933250","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","11150","350","3.24","10600","11150","10550","257631","2820024550","168167689600","15082304"
"027410","BGF","KOSPI",,"4230","-45","-1.05","4255","4350","4180","451992","1927479565","404882025930","95716791"
"282330","BGF리테일","KOSPI",,"213000","1000","0.47","212000","213500","207000","23583","4998461000","3681471978000","17283906"
"138930","BNK금융지주","KOSPI",,"7290","20","0.28","7270","7300","7240","1089039","7924810630","2376067943340","325935246"
"001460","BYC","KOSPI",,"361000","2000","0.56","360500","361000","358500","67","24131000","225486015000","624615"
"001465","BYC우","KOSPI",,"141000","500","0.36","141000","141000","141000","108","15228000","30369285000","215385"
"013720","CBI","KOSDAQ","벤처기업부","467","-1","-0.21","535","543","464","39014844","19636572250","126249100362","270340686"
"001040","CJ","KOSPI",,"81000","0","0.00","81700","82300","80400","46692","3795748000","2363336838000","29176998"
"079160","CJ CGV","KOSPI",,"17350","-550","-3.07","17850","18000","17100","377883","6601890100","827823360700","47713162"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","94900","-3900","-3.95","98300","99100","94200","195522","18827714200","2081076714600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","27150","-600","-2.16","27750","27750","26950","7094","193062550","159605944800","5878672"
"00104K","CJ4우(전환)","KOSPI",,"71000","0","0.00","70300","71800","70100","4204","298280200","300082352000","4226512"
"000120","CJ대한통운","KOSPI",,"90000","400","0.45","90300","91500","89100","55064","4975502700","2053110960000","22812344"
"011150","CJ씨푸드","KOSPI",,"2680","-30","-1.11","2710","2725","2665","53000","142509615","96294471640","35930773"
"011155","CJ씨푸드1우","KOSPI",,"25400","400","1.60","25350","25650","25350","62","1585350","5080000000","200000"
"001045","CJ우","KOSPI",,"49900","-400","-0.80","50500","50500","49700","2181","109081300","112785127700","2260223"
"097950","CJ제일제당","KOSPI",,"379500","5000","1.34","374500","379500","374500","33493","12647551000","5713063587000","15054186"
"097955","CJ제일제당 우","KOSPI",,"170500","500","0.29","169000","171500","169000","885","150813500","226327326500","1327433"
