"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","351.36","354.41","355.30","350.04","","-0.82%"
"2022- 12- 19","354.25","356.67","357.46","353.08","","-0.68%"
"2022- 12- 18","356.67","356.66","356.68","356.66","","0.05%"
"2022- 12- 16","356.47","359.27","359.42","355.25","","-0.69%"
"2022- 12- 15","358.95","352.81","359.60","352.18","","1.79%"
"2022- 12- 14","352.64","351.09","354.62","350.86","","0.49%"
"2022- 12- 13","350.93","355.85","356.55","350.87","","-1.30%"
"2022- 12- 12","355.54","355.11","357.79","354.82","","0.17%"
"2022- 12- 09","354.93","358.51","358.89","353.58","","-0.91%"
"2022- 12- 08","358.20","357.95","360.45","357.87","","0.11%"
"2022- 12- 07","357.80","359.40","361.15","357.35","","-0.41%"
"2022- 12- 06","359.27","355.48","360.24","354.32","","1.10%"
"2022- 12- 05","355.36","353.48","355.84","351.04","","0.58%"
"2022- 12- 02","353.31","355.17","356.23","352.68","","-0.49%"
"2022- 12- 01","355.04","354.39","356.17","352.61","","0.20%"
"2022- 11- 30","354.34","360.92","362.09","354.09","","-1.79%"
"2022- 11- 29","360.79","365.23","365.61","360.14","","-1.07%"
"2022- 11- 28","364.71","363.61","365.60","362.76","","0.40%"
"2022- 11- 25","363.26","361.57","363.94","359.17","","0.58%"
"2022- 11- 24","361.15","364.02","365.02","360.48","","-0.76%"
"2022- 11- 23","363.92","368.36","369.13","363.72","","-1.17%"
"2022- 11- 22","368.22","370.15","371.07","367.81","","-0.49%"
"2022- 11- 21","370.03","364.83","370.98","364.81","","1.46%"
