"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","3,066.84","3,059.12","3,099.53","3,057.85","2.84M","0.25%"
"2022- 12- 16","3,059.33","3,079.63","3,082.88","3,044.83","6.58M","-0.66%"
"2022- 12- 15","3,079.73","3,140.57","3,140.93","3,076.48","3.89M","-1.94%"
"2022- 12- 14","3,140.66","3,148.91","3,167.37","3,120.89","3.39M","-0.26%"
"2022- 12- 13","3,148.83","3,135.51","3,172.95","3,116.36","3.87M","0.43%"
"2022- 12- 12","3,135.43","3,166.70","3,167.08","3,135.35","2.74M","-0.98%"
"2022- 12- 09","3,166.36","3,160.27","3,174.10","3,134.35","2.63M","0.19%"
"2022- 12- 08","3,160.38","3,160.87","3,175.85","3,153.20","1.92M","-0.03%"
"2022- 12- 07","3,161.42","3,191.52","3,191.52","3,157.88","2.68M","-0.94%"
"2022- 12- 06","3,191.29","3,211.46","3,212.09","3,176.51","2.54M","-0.64%"
"2022- 12- 05","3,211.71","3,207.63","3,232.38","3,200.92","2.76M","0.13%"
"2022- 12- 02","3,207.50","3,211.05","3,217.64","3,188.32","2.46M","-0.16%"
"2022- 12- 01","3,212.68","3,231.37","3,257.87","3,212.31","3.13M","-0.58%"
"2022- 11- 30","3,231.49","3,226.37","3,240.41","3,207.19","6.20M","0.21%"
"2022- 11- 29","3,224.85","3,208.34","3,248.70","3,205.42","2.78M","0.50%"
"2022- 11- 28","3,208.77","3,266.79","3,266.79","3,200.07","2.48M","-1.79%"
"2022- 11- 25","3,267.27","3,256.79","3,271.46","3,242.07","2.04M","0.34%"
"2022- 11- 24","3,256.29","3,247.26","3,269.79","3,246.84","2.09M","0.32%"
"2022- 11- 23","3,245.90","3,250.56","3,265.36","3,241.98","2.55M","-0.12%"
"2022- 11- 22","3,249.92","3,210.75","3,271.58","3,209.04","2.69M","1.24%"
"2022- 11- 21","3,210.26","3,221.14","3,224.92","3,203.70","2.68M","-0.47%"
