"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","21,919,000","21,645,000","22,129,000","21,577,000","2.75K","1.26%"
"2022- 12- 19","21,647,000","22,220,000","22,243,000","21,526,000","1.27K","-2.63%"
"2022- 12- 18","22,232,000","22,247,000","22,300,000","22,129,000","0.12K","-0.07%"
"2022- 12- 17","22,248,000","22,240,000","22,365,000","21,976,000","0.72K","0.06%"
"2022- 12- 16","22,234,000","22,954,000","23,009,000","22,127,000","1.40K","-3.12%"
"2022- 12- 15","22,950,000","23,262,000","23,368,000","22,865,000","0.89K","-1.32%"
"2022- 12- 14","23,256,000","23,167,000","23,908,000","23,152,000","1.37K","0.36%"
"2022- 12- 13","23,172,000","22,833,000","23,516,000","22,562,000","0.99K","1.48%"
"2022- 12- 12","22,835,000","22,770,000","22,873,000","22,475,000","0.74K","0.28%"
"2022- 12- 11","22,772,000","22,826,000","22,903,000","22,751,000","0.69K","-0.25%"
"2022- 12- 10","22,828,000","22,854,000","22,918,000","22,809,000","0.68K","-0.11%"
"2022- 12- 09","22,854,000","22,905,000","23,000,000","22,737,000","0.73K","-0.23%"
"2022- 12- 08","22,907,000","22,540,000","22,994,000","22,467,000","0.93K","1.64%"
"2022- 12- 07","22,538,000","22,821,000","22,882,000","22,385,000","0.71K","-1.24%"
"2022- 12- 06","22,821,000","22,736,000","22,866,000","22,695,000","0.79K","0.35%"
"2022- 12- 05","22,741,000","22,913,000","23,149,000","22,686,000","0.97K","-0.79%"
"2022- 12- 04","22,923,000","22,827,000","23,006,000","22,752,000","0.73K","0.42%"
"2022- 12- 03","22,827,000","22,883,000","22,962,000","22,739,000","0.66K","-0.24%"
"2022- 12- 02","22,883,000","23,006,000","23,041,000","22,633,000","0.69K","-0.54%"
"2022- 12- 01","23,008,000","23,216,000","23,315,000","22,872,000","0.93K","-0.90%"
"2022- 11- 30","23,217,000","22,416,000","23,284,000","22,402,000","1.35K","3.59%"
"2022- 11- 29","22,413,000","22,319,000","22,588,000","22,150,000","0.90K","0.42%"
"2022- 11- 28","22,319,000","22,646,000","22,682,000","22,161,000","1.23K","-1.46%"
"2022- 11- 27","22,650,000","22,664,000","22,780,000","22,602,000","2.17K","-0.06%"
"2022- 11- 26","22,664,000","22,673,000","22,877,000","22,600,000","1.34K","-0.04%"
"2022- 11- 25","22,673,000","22,716,000","22,814,000","22,328,000","0.72K","-0.18%"
"2022- 11- 24","22,715,000","22,951,000","23,196,000","22,567,000","0.87K","-1.06%"
"2022- 11- 23","22,959,000","22,550,000","23,100,000","22,489,000","0.94K","1.81%"
"2022- 11- 22","22,550,000","22,193,000","22,698,000","21,999,000","0.58K","1.59%"
"2022- 11- 21","22,198,000","22,775,000","22,812,000","21,896,000","1.09K","-2.53%"
"2022- 11- 20","22,775,000","23,051,000","23,088,000","22,650,000","0.53K","-1.20%"
