"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","13,965.65","13,912.85","13,986.83","13,912.85","","0.52%"
"2022- 12- 16","13,893.07","13,978.44","14,011.26","13,815.24","168.81M","-0.67%"
"2022- 12- 15","13,986.23","14,351.31","14,363.12","13,982.59","87.47M","-3.28%"
"2022- 12- 14","14,460.20","14,453.54","14,470.74","14,375.95","59.75M","-0.26%"
"2022- 12- 13","14,497.89","14,345.88","14,675.84","14,302.49","68.06M","1.34%"
"2022- 12- 12","14,306.63","14,300.43","14,366.39","14,262.60","46.46M","-0.45%"
"2022- 12- 09","14,370.72","14,325.80","14,385.57","14,217.96","52.57M","0.74%"
"2022- 12- 08","14,264.56","14,277.75","14,298.81","14,196.77","47.36M","0.02%"
"2022- 12- 07","14,261.19","14,304.95","14,372.35","14,218.18","52.79M","-0.57%"
"2022- 12- 06","14,343.19","14,406.87","14,471.50","14,305.26","50.93M","-0.72%"
"2022- 12- 05","14,447.61","14,487.43","14,507.16","14,394.37","50.08M","-0.56%"
"2022- 12- 02","14,529.39","14,465.70","14,584.59","14,372.42","55.19M","0.27%"
"2022- 12- 01","14,490.30","14,543.80","14,563.70","14,423.79","61.60M","0.65%"
"2022- 11- 30","14,397.04","14,429.22","14,487.70","14,363.32","97.64M","0.29%"
"2022- 11- 29","14,355.45","14,404.67","14,429.87","14,327.04","51.09M","-0.19%"
"2022- 11- 28","14,383.36","14,471.10","14,514.73","14,374.15","53.34M","-1.09%"
"2022- 11- 25","14,541.38","14,547.58","14,571.66","14,498.05","46.22M","0.01%"
"2022- 11- 24","14,539.56","14,456.15","14,570.71","14,447.55","50.50M","0.78%"
"2022- 11- 23","14,427.59","14,438.20","14,446.33","14,363.51","51.12M","0.04%"
"2022- 11- 22","14,422.35","14,352.54","14,485.49","14,343.80","50.37M","0.29%"
"2022- 11- 21","14,379.93","14,395.53","14,425.95","14,321.84","48.08M","-0.36%"
