"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","183.93","185.70","186.15","183.73","","-0.86%"
"2022- 12- 19","185.52","186.52","186.84","184.81","","-0.47%"
"2022- 12- 18","186.39","186.53","186.63","186.37","","0.02%"
"2022- 12- 16","186.35","188.56","188.79","186.18","","-1.09%"
"2022- 12- 15","188.40","186.10","189.32","185.67","","1.29%"
"2022- 12- 14","186.01","184.32","186.89","184.12","","0.96%"
"2022- 12- 13","184.24","185.20","187.53","184.20","","-0.44%"
"2022- 12- 12","185.05","184.67","185.81","184.38","","0.25%"
"2022- 12- 09","184.59","186.88","187.10","183.80","","-1.14%"
"2022- 12- 08","186.73","185.69","187.12","185.66","","0.61%"
"2022- 12- 07","185.60","185.80","187.33","184.73","","-0.08%"
"2022- 12- 06","185.74","184.20","186.94","183.78","","0.86%"
"2022- 12- 05","184.16","184.17","184.78","183.23","","0.10%"
"2022- 12- 02","183.97","184.63","184.89","181.80","","-0.32%"
"2022- 12- 01","184.57","182.16","184.76","181.62","","1.34%"
"2022- 11- 30","182.12","184.12","184.80","181.91","","-1.04%"
"2022- 11- 29","184.04","186.48","186.82","183.79","","-1.18%"
"2022- 11- 28","186.25","186.68","188.31","186.15","","-0.16%"
"2022- 11- 25","186.54","185.93","187.15","184.86","","0.45%"
"2022- 11- 24","185.72","186.90","187.67","185.34","","-0.61%"
"2022- 11- 23","186.85","187.44","188.18","186.66","","-0.28%"
"2022- 11- 22","187.38","187.21","187.74","186.37","","0.13%"
"2022- 11- 21","187.14","186.00","187.82","185.90","","0.64%"
