"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","441.45","446.86","446.86","439.75","","-1.21%"
"2022- 12- 19","446.86","455.58","456.03","445.18","","-1.91%"
"2022- 12- 16","455.58","455.99","456.66","453.13","","-0.09%"
"2022- 12- 15","455.99","456.71","457.08","454.20","","-0.16%"
"2022- 12- 14","456.71","456.58","458.77","455.55","","0.03%"
"2022- 12- 13","456.58","457.50","458.28","455.98","","-0.20%"
"2022- 12- 12","457.50","461.64","461.64","457.13","","-0.90%"
"2022- 12- 09","461.64","459.48","462.41","457.70","","0.47%"
"2022- 12- 08","459.48","459.81","460.88","457.94","","-0.07%"
"2022- 12- 07","459.81","461.75","463.85","458.23","","-0.42%"
"2022- 12- 06","461.75","461.38","463.63","459.07","","0.08%"
"2022- 12- 05","461.38","453.67","461.50","453.67","","1.70%"
"2022- 12- 02","453.67","455.36","456.02","452.76","","-0.37%"
"2022- 12- 01","455.36","452.20","459.75","452.20","","0.70%"
"2022- 11- 30","452.21","452.40","453.44","450.14","","-0.04%"
"2022- 11- 29","452.40","441.23","452.93","441.23","","2.53%"
"2022- 11- 28","441.23","445.13","445.13","434.80","","-0.88%"
"2022- 11- 25","445.13","443.96","446.67","442.00","","0.26%"
"2022- 11- 24","443.96","445.07","447.83","443.34","","-0.25%"
"2022- 11- 23","445.07","444.34","446.88","441.77","","0.16%"
"2022- 11- 22","444.34","444.50","448.91","442.86","","-0.04%"
"2022- 11- 21","444.50","446.52","446.52","440.15","","-0.45%"
