"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","1,557,000","1,570,000","1,578,000","1,552,000","1.72K","-0.83%"
"2022- 12- 18","1,570,000","1,576,000","1,585,000","1,558,000","0.58K","-0.38%"
"2022- 12- 17","1,576,000","1,561,000","1,577,000","1,539,000","2.63K","0.96%"
"2022- 12- 16","1,561,000","1,674,000","1,681,000","1,547,000","8.10K","-6.81%"
"2022- 12- 15","1,675,000","1,709,000","1,716,000","1,667,000","3.00K","-1.99%"
"2022- 12- 14","1,709,000","1,722,000","1,760,000","1,707,000","6.07K","-0.75%"
"2022- 12- 13","1,722,000","1,692,000","1,760,000","1,658,000","4.18K","1.71%"
"2022- 12- 12","1,693,000","1,683,000","1,695,000","1,653,000","2.57K","0.59%"
"2022- 12- 11","1,683,000","1,687,000","1,703,000","1,676,000","2.64K","-0.24%"
"2022- 12- 10","1,687,000","1,685,000","1,705,000","1,680,000","2.54K","0.12%"
"2022- 12- 09","1,685,000","1,703,000","1,719,000","1,680,000","2.63K","-0.94%"
"2022- 12- 08","1,701,000","1,649,000","1,717,000","1,638,000","5.56K","3.09%"
"2022- 12- 07","1,650,000","1,699,000","1,704,000","1,634,000","5.72K","-2.88%"
"2022- 12- 06","1,699,000","1,688,000","1,701,000","1,669,000","3.02K","0.59%"
"2022- 12- 05","1,689,000","1,715,000","1,734,000","1,678,000","4.55K","-1.46%"
"2022- 12- 04","1,714,000","1,678,000","1,722,000","1,677,000","4.54K","2.15%"
"2022- 12- 03","1,678,000","1,735,000","1,747,000","1,673,000","3.00K","-3.29%"
"2022- 12- 02","1,735,000","1,729,000","1,741,000","1,702,000","2.71K","0.35%"
"2022- 12- 01","1,729,000","1,752,000","1,755,000","1,711,000","4.05K","-1.31%"
"2022- 11- 30","1,752,000","1,656,000","1,766,000","1,653,000","9.31K","5.67%"
"2022- 11- 29","1,658,000","1,608,000","1,670,000","1,596,000","5.28K","3.11%"
"2022- 11- 28","1,608,000","1,645,000","1,650,000","1,596,000","6.14K","-2.31%"
"2022- 11- 27","1,646,000","1,660,000","1,677,000","1,643,000","16.93K","-0.84%"
"2022- 11- 26","1,660,000","1,646,000","1,686,000","1,644,000","10.13K","0.85%"
"2022- 11- 25","1,646,000","1,646,000","1,654,000","1,599,000","6.01K","0.00%"
"2022- 11- 24","1,646,000","1,638,000","1,672,000","1,625,000","6.57K","0.43%"
"2022- 11- 23","1,639,000","1,584,000","1,644,000","1,572,000","6.81K","3.47%"
"2022- 11- 22","1,584,000","1,559,000","1,590,000","1,513,000","3.85K","1.60%"
"2022- 11- 21","1,559,000","1,600,000","1,602,000","1,529,000","8.30K","-2.50%"
"2022- 11- 20","1,599,000","1,682,000","1,689,000","1,585,000","4.69K","-4.93%"
"2022- 11- 19","1,682,000","1,668,000","1,698,000","1,666,000","2.44K","0.72%"
