"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","1,378.85","1,386.58","1,388.19","1,374.92","18.37K","-0.55%"
"2022- 12- 18","1,386.45","1,387.38","1,388.29","1,386.32","2.56K","0.06%"
"2022- 12- 16","1,385.68","1,402.37","1,404.10","1,384.67","117.79K","-1.10%"
"2022- 12- 15","1,401.05","1,384.35","1,408.44","1,381.03","125.75K","1.25%"
"2022- 12- 14","1,383.77","1,371.08","1,390.46","1,369.56","126.32K","0.98%"
"2022- 12- 13","1,370.35","1,377.19","1,395.15","1,370.23","110.13K","-0.41%"
"2022- 12- 12","1,375.96","1,373.13","1,382.00","1,371.34","105.25K","0.22%"
"2022- 12- 09","1,372.98","1,390.17","1,391.53","1,366.93","115.22K","-1.15%"
"2022- 12- 08","1,388.99","1,381.30","1,391.86","1,380.91","124.27K","0.60%"
"2022- 12- 07","1,380.76","1,382.18","1,393.56","1,373.92","136.06K","-0.07%"
"2022- 12- 06","1,381.69","1,369.97","1,390.55","1,366.82","119.50K","0.88%"
"2022- 12- 05","1,369.59","1,369.32","1,374.28","1,362.66","122.10K","0.14%"
"2022- 12- 02","1,367.72","1,372.92","1,375.16","1,352.01","113.18K","-0.33%"
"2022- 12- 01","1,372.31","1,354.68","1,374.01","1,350.76","143.57K","1.32%"
"2022- 11- 30","1,354.37","1,369.29","1,374.41","1,352.95","126.40K","-1.05%"
"2022- 11- 29","1,368.70","1,386.81","1,389.22","1,366.74","108.20K","-1.17%"
"2022- 11- 28","1,384.90","1,386.58","1,400.42","1,384.29","110.01K","-0.17%"
"2022- 11- 25","1,387.19","1,382.40","1,391.70","1,374.68","100.46K","0.46%"
"2022- 11- 24","1,380.82","1,390.11","1,395.66","1,378.32","99.61K","-0.64%"
"2022- 11- 23","1,389.66","1,394.14","1,399.58","1,388.06","108.15K","-0.28%"
"2022- 11- 22","1,393.50","1,392.65","1,396.26","1,386.11","116.91K","0.10%"
"2022- 11- 21","1,392.06","1,382.64","1,397.03","1,382.64","115.10K","0.65%"
