"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","13,052.86","13,228.81","13,297.70","13,012.07","","-1.33%"
"2022- 12- 16","13,228.81","13,170.40","13,231.92","13,101.32","","0.44%"
"2022- 12- 15","13,170.40","13,184.67","13,256.98","13,068.49","","-0.11%"
"2022- 12- 14","13,184.67","13,104.67","13,231.37","13,030.45","","0.61%"
"2022- 12- 13","13,104.67","13,086.19","13,167.26","13,059.46","","0.14%"
"2022- 12- 12","13,086.19","13,280.30","13,280.30","13,071.49","","-1.46%"
"2022- 12- 09","13,280.30","13,099.59","13,300.03","13,048.80","","1.38%"
"2022- 12- 08","13,099.59","13,078.98","13,139.75","13,021.17","","0.16%"
"2022- 12- 07","13,078.98","13,087.63","13,259.28","13,037.29","","-0.07%"
"2022- 12- 06","13,087.63","12,954.42","13,186.70","12,873.28","","1.03%"
"2022- 12- 05","12,954.42","12,699.95","12,964.96","12,699.95","","2.00%"
"2022- 12- 02","12,699.95","12,778.19","12,791.80","12,678.78","","-0.61%"
"2022- 12- 01","12,778.19","12,602.06","13,014.33","12,602.06","","1.40%"
"2022- 11- 30","12,602.06","12,557.58","12,642.90","12,491.78","","0.35%"
"2022- 11- 29","12,557.58","12,093.45","12,578.03","12,093.45","","3.84%"
"2022- 11- 28","12,093.45","12,240.59","12,240.59","11,833.19","","-1.20%"
"2022- 11- 25","12,240.59","12,135.78","12,292.47","12,087.24","","0.86%"
"2022- 11- 24","12,135.78","12,212.22","12,325.03","12,118.41","","-0.63%"
"2022- 11- 23","12,212.22","12,195.31","12,293.90","12,135.78","","0.14%"
"2022- 11- 22","12,195.31","12,131.48","12,326.58","12,092.75","","0.53%"
"2022- 11- 21","12,131.48","12,269.57","12,269.57","12,000.52","","-1.13%"
