"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","1,584.16","1,592.91","1,594.94","1,579.89","28.87K","-0.55%"
"2022- 12- 18","1,592.91","1,591.60","1,594.21","1,591.46","3.04K","0.20%"
"2022- 12- 16","1,589.70","1,606.90","1,608.89","1,586.97","149.12K","-0.98%"
"2022- 12- 15","1,605.42","1,609.91","1,623.49","1,603.80","175.69K","-0.22%"
"2022- 12- 14","1,609.04","1,593.40","1,616.17","1,592.85","202.20K","1.03%"
"2022- 12- 13","1,592.59","1,604.04","1,626.69","1,593.26","174.76K","-0.62%"
"2022- 12- 12","1,602.56","1,597.53","1,607.44","1,594.82","158.74K","0.29%"
"2022- 12- 09","1,597.89","1,611.13","1,612.72","1,588.44","176.90K","-0.73%"
"2022- 12- 08","1,609.65","1,604.15","1,613.43","1,602.93","207.39K","0.39%"
"2022- 12- 07","1,603.41","1,602.44","1,613.92","1,592.72","211.90K","0.10%"
"2022- 12- 06","1,601.83","1,591.69","1,620.02","1,587.65","189.95K","0.68%"
"2022- 12- 05","1,591.05","1,596.88","1,599.34","1,584.56","194.72K","-0.23%"
"2022- 12- 02","1,594.72","1,598.73","1,603.24","1,573.33","178.23K","-0.11%"
"2022- 12- 01","1,596.51","1,569.33","1,603.22","1,564.82","206.87K","1.74%"
"2022- 11- 30","1,569.27","1,584.83","1,589.98","1,566.94","223.66K","-0.94%"
"2022- 11- 29","1,584.20","1,604.03","1,606.77","1,581.39","165.12K","-1.08%"
"2022- 11- 28","1,601.54","1,613.08","1,619.98","1,600.76","158.99K","-0.76%"
"2022- 11- 25","1,613.79","1,608.57","1,617.81","1,598.58","141.73K","0.45%"
"2022- 11- 24","1,606.62","1,611.73","1,618.67","1,600.70","177.98K","-0.28%"
"2022- 11- 23","1,611.17","1,608.05","1,622.55","1,602.34","163.58K","0.24%"
"2022- 11- 22","1,607.35","1,607.54","1,613.88","1,600.69","175.73K","0.03%"
"2022- 11- 21","1,606.83","1,593.23","1,609.32","1,591.82","177.22K","0.92%"
