"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","1.685","1.683","1.734","1.681","0.78%"
"2022년 12월 19일","1.672","1.680","1.743","1.660","-1.01%"
"2022년 12월 16일","1.689","1.812","1.849","1.658","-1.40%"
"2022년 12월 15일","1.713","1.776","1.827","1.713","0.59%"
"2022년 12월 14일","1.703","1.731","1.839","1.702","1.61%"
"2022년 12월 13일","1.676","1.717","1.854","1.676","-0.80%"
"2022년 12월 12일","1.689","1.702","1.852","1.678","-1.69%"
"2022년 12월 09일","1.719","1.677","1.746","1.646","3.12%"
"2022년 12월 08일","1.666","1.638","1.677","1.625","3.32%"
"2022년 12월 07일","1.613","1.622","1.633","1.532","-0.28%"
"2022년 12월 06일","1.617","1.646","1.722","1.595","10.11%"
"2022년 12월 05일","1.469","1.503","1.556","1.469","-5.98%"
"2022년 12월 02일","1.563","1.523","1.564","1.523","2.53%"
"2022년 12월 01일","1.524","1.543","1.579","1.510","0.46%"
"2022년 11월 30일","1.517","1.500","1.537","1.497","0.17%"
"2022년 11월 29일","1.515","1.566","1.594","1.497","18.64%"
"2022년 11월 28일","1.276","1.370","1.370","1.257","-9.18%"
"2022년 11월 25일","1.406","1.423","1.431","1.406","0.00%"
"2022년 11월 24일","1.406","1.432","1.432","1.389","0.14%"
"2022년 11월 23일","1.404","1.379","1.404","1.379","2.37%"
"2022년 11월 22일","1.372","1.373","1.388","1.365","-0.07%"
"2022년 11월 21일","1.372","1.447","1.485","1.355","-5.28%"
