"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","167.075","168.400","168.490","166.620","25.60K","-0.72%"
"2022- 12- 18","168.295","168.295","168.295","168.295","","0.04%"
"2022- 12- 16","168.230","169.670","169.760","167.755","44.72K","-0.77%"
"2022- 12- 15","169.540","166.720","169.855","166.430","51.17K","1.73%"
"2022- 12- 14","166.650","165.890","167.520","165.775","54.99K","0.49%"
"2022- 12- 13","165.830","168.080","168.470","165.785","60.27K","-1.26%"
"2022- 12- 12","167.950","167.500","168.780","167.415","55.85K","0.29%"
"2022- 12- 09","167.470","169.125","169.355","166.715","62.00K","-0.90%"
"2022- 12- 08","168.990","168.740","169.965","168.685","64.12K","0.18%"
"2022- 12- 07","168.690","169.770","170.510","168.540","64.79K","-0.61%"
"2022- 12- 06","169.720","168.105","170.225","167.480","57.73K","0.98%"
"2022- 12- 05","168.070","166.795","168.235","165.930","51.98K","0.86%"
"2022- 12- 02","166.630","167.685","168.055","166.435","50.89K","-0.60%"
"2022- 12- 01","167.640","166.675","168.045","166.005","60.83K","0.59%"
"2022- 11- 30","166.660","169.730","170.260","166.530","56.97K","-1.79%"
"2022- 11- 29","169.690","171.645","171.870","169.330","48.75K","-1.03%"
"2022- 11- 28","171.450","170.940","171.840","170.505","49.72K","0.38%"
"2022- 11- 25","170.800","170.090","171.055","168.915","44.44K","0.52%"
"2022- 11- 24","169.910","171.015","171.495","169.545","52.20K","-0.63%"
"2022- 11- 23","170.980","173.080","173.435","170.875","50.20K","-1.18%"
"2022- 11- 22","173.030","174.240","174.650","172.950","56.45K","-0.67%"
"2022- 11- 21","174.200","171.335","174.630","171.335","54.72K","1.70%"
