"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","8.3350","8.4040","8.4080","8.3045","17.94K","-0.70%"
"2022- 12- 16","8.3940","8.4490","8.4525","8.3520","20.98K","-0.56%"
"2022- 12- 15","8.4410","8.3115","8.4560","8.2965","29.63K","1.61%"
"2022- 12- 14","8.3070","8.2365","8.3535","8.2315","33.05K","0.90%"
"2022- 12- 13","8.2330","8.3640","8.3805","8.2315","33.67K","-1.47%"
"2022- 12- 12","8.3560","8.3680","8.4265","8.3395","32.43K","-0.13%"
"2022- 12- 09","8.3670","8.4300","8.4390","8.3340","33.72K","-0.66%"
"2022- 12- 08","8.4230","8.4080","8.4790","8.4060","34.58K","0.23%"
"2022- 12- 07","8.4040","8.4525","8.4940","8.3990","34.00K","-0.53%"
"2022- 12- 06","8.4490","8.4420","8.4760","8.3885","35.73K","0.12%"
"2022- 12- 05","8.4390","8.4215","8.4505","8.3645","31.17K","0.33%"
"2022- 12- 02","8.4110","8.3825","8.4805","8.3190","31.11K","0.38%"
"2022- 12- 01","8.3790","8.2750","8.4000","8.2360","35.40K","1.28%"
"2022- 11- 30","8.2730","8.4210","8.4485","8.2675","34.40K","-1.72%"
"2022- 11- 29","8.4180","8.5325","8.5410","8.4075","33.16K","-1.20%"
"2022- 11- 28","8.5200","8.5240","8.5595","8.4750","31.73K","0.08%"
"2022- 11- 25","8.5130","8.4770","8.5295","8.4210","30.43K","0.53%"
"2022- 11- 24","8.4680","8.5235","8.5470","8.4545","31.28K","-0.62%"
"2022- 11- 23","8.5210","8.6195","8.6350","8.5170","33.82K","-1.10%"
"2022- 11- 22","8.6160","8.6530","8.6745","8.5970","37.90K","-0.39%"
"2022- 11- 21","8.6500","8.5515","8.6725","8.5510","33.03K","1.30%"
