"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","15.7097","15.8432","15.8515","15.6751","6.63K","-0.71%"
"2022- 12- 16","15.8223","15.9242","15.9308","15.7504","26.81K","-0.54%"
"2022- 12- 15","15.9087","15.7088","15.9346","15.6811","33.92K","1.34%"
"2022- 12- 14","15.6988","15.6497","15.7914","15.6399","37.24K","0.38%"
"2022- 12- 13","15.6391","15.8152","15.8674","15.6401","38.40K","-1.02%"
"2022- 12- 12","15.8008","15.8208","15.9376","15.7738","37.85K","-0.11%"
"2022- 12- 09","15.8179","16.0022","16.0194","15.7667","38.71K","-1.07%"
"2022- 12- 08","15.9882","15.9915","16.0980","15.9804","40.27K","0.02%"
"2022- 12- 07","15.9844","16.0035","16.0814","15.9139","42.30K","-0.08%"
"2022- 12- 06","15.9975","15.9430","16.0803","15.8907","42.33K","0.37%"
"2022- 12- 05","15.9381","15.9529","15.9678","15.8204","36.83K","0.04%"
"2022- 12- 02","15.9319","16.0798","16.0965","15.9320","37.76K","-0.88%"
"2022- 12- 01","16.0738","15.9967","16.1443","15.9215","41.01K","0.51%"
"2022- 11- 30","15.9929","16.2408","16.2939","15.9831","37.71K","-1.49%"
"2022- 11- 29","16.2350","16.4302","16.4469","16.2113","38.74K","-1.04%"
"2022- 11- 28","16.4064","16.3494","16.4406","16.3283","36.25K","0.49%"
"2022- 11- 25","16.3259","16.2665","16.3679","16.1802","34.97K","0.50%"
"2022- 11- 24","16.2443","16.3792","16.4242","16.2027","36.77K","-0.77%"
"2022- 11- 23","16.3705","16.5569","16.5791","16.3580","38.53K","-1.09%"
"2022- 11- 22","16.5514","16.6358","16.6770","16.5231","42.78K","-0.45%"
"2022- 11- 21","16.6261","16.4316","16.6728","16.4302","41.30K","1.36%"
