"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","9.6989","9.5028","9.7664","9.4621","122.80K","2.04%"
"2022- 12- 19","9.5047","9.6281","9.6452","9.4864","241.26K","-0.90%"
"2022- 12- 18","9.5915","9.6412","9.6452","9.5891","9.13K","0.14%"
"2022- 12- 16","9.5778","9.5772","9.6087","9.5054","215.56K","0.09%"
"2022- 12- 15","9.5690","9.5656","9.6406","9.5486","239.12K","0.08%"
"2022- 12- 14","9.5617","9.5112","9.6266","9.5001","207.38K","0.58%"
"2022- 12- 13","9.5069","9.4936","9.7063","9.4407","190.88K","0.23%"
"2022- 12- 12","9.4850","9.5478","9.6011","9.4785","178.70K","-0.64%"
"2022- 12- 09","9.5459","9.6354","9.6482","9.5186","207.36K","-0.84%"
"2022- 12- 08","9.6271","9.6238","9.6749","9.6182","210.26K","0.07%"
"2022- 12- 07","9.6200","9.6321","9.6763","9.5590","229.15K","-0.10%"
"2022- 12- 06","9.6293","9.5479","9.7057","9.5302","212.73K","0.89%"
"2022- 12- 05","9.5446","9.6726","9.6807","9.5295","212.73K","-1.22%"
"2022- 12- 02","9.6620","9.6430","9.7083","9.5343","211.21K","0.26%"
"2022- 12- 01","9.6374","9.4282","9.6515","9.4239","236.73K","2.22%"
"2022- 11- 30","9.4281","9.5575","9.5836","9.4175","230.41K","-1.31%"
"2022- 11- 29","9.5535","9.6544","9.6841","9.5380","185.99K","-0.90%"
"2022- 11- 28","9.6406","9.5852","9.7368","9.5787","182.98K","0.51%"
"2022- 11- 25","9.5916","9.5803","9.6170","9.5237","171.58K","0.23%"
"2022- 11- 24","9.5693","9.5777","9.6351","9.5369","177.59K","-0.06%"
"2022- 11- 23","9.5749","9.5785","9.6312","9.5428","178.25K","0.00%"
"2022- 11- 22","9.5749","9.5649","9.6028","9.5329","185.87K","0.13%"
"2022- 11- 21","9.5624","9.5515","9.6665","9.5434","188.18K","0.20%"
