"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","65.91","66.16","66.20","65.54","","-0.39%"
"2022- 12- 18","66.16","66.20","66.30","66.16","","0.06%"
"2022- 12- 16","66.12","66.78","66.83","65.81","123.59K","-0.86%"
"2022- 12- 15","66.69","66.05","67.03","65.91","136.46K","1.08%"
"2022- 12- 14","65.98","66.04","66.47","65.63","147.03K","0.04%"
"2022- 12- 13","65.95","65.82","66.60","65.43","139.98K","0.35%"
"2022- 12- 12","65.72","66.00","66.39","65.64","115.20K","-0.24%"
"2022- 12- 09","65.88","67.10","67.17","65.65","136.55K","-1.68%"
"2022- 12- 08","67.01","66.85","67.18","66.74","133.92K","0.31%"
"2022- 12- 07","66.80","66.82","67.12","66.32","138.93K","0.06%"
"2022- 12- 06","66.76","66.16","67.21","65.95","140.88K","0.99%"
"2022- 12- 05","66.10","67.01","67.11","65.54","135.98K","-1.18%"
"2022- 12- 02","66.89","68.19","68.24","66.82","142.59K","-1.84%"
"2022- 12- 01","68.14","67.56","68.26","67.24","149.59K","0.96%"
"2022- 11- 30","67.50","68.93","69.14","67.42","141.92K","-1.97%"
"2022- 11- 29","68.85","69.46","69.70","68.62","136.03K","-0.71%"
"2022- 11- 28","69.34","69.13","69.56","68.93","122.23K","0.55%"
"2022- 11- 25","68.96","68.52","69.22","68.10","106.09K","0.85%"
"2022- 11- 24","68.39","69.04","69.25","68.36","98.85K","-0.86%"
"2022- 11- 23","68.98","69.62","69.91","69.01","113.29K","-0.81%"
"2022- 11- 22","69.54","69.56","69.75","69.15","126.26K","0.04%"
"2022- 11- 21","69.51","68.88","70.02","68.86","124.86K","0.99%"
