"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","294.316","296.251","296.407","293.231","6.63K","-0.50%"
"2022- 12- 16","295.792","298.700","298.823","294.888","20.84K","-0.84%"
"2022- 12- 15","298.305","295.095","298.951","294.487","29.49K","1.21%"
"2022- 12- 14","294.749","291.166","296.606","290.985","32.94K","1.33%"
"2022- 12- 13","290.869","295.918","296.067","290.988","33.56K","-1.57%"
"2022- 12- 12","295.493","296.016","297.305","295.055","32.39K","-0.08%"
"2022- 12- 09","295.729","299.448","299.986","294.364","33.59K","-1.11%"
"2022- 12- 08","299.052","298.980","301.047","298.921","34.50K","0.11%"
"2022- 12- 07","298.723","300.337","301.832","297.903","33.93K","-0.41%"
"2022- 12- 06","299.952","298.863","301.053","296.519","35.64K","0.45%"
"2022- 12- 05","298.602","296.074","299.165","294.953","31.08K","1.07%"
"2022- 12- 02","295.445","296.154","298.164","294.902","31.01K","-0.10%"
"2022- 12- 01","295.744","292.686","296.904","291.317","35.31K","1.15%"
"2022- 11- 30","292.374","294.038","296.790","292.436","34.26K","-0.47%"
"2022- 11- 29","293.741","299.448","299.753","293.537","33.07K","-1.67%"
"2022- 11- 28","298.718","298.204","299.748","297.418","31.56K","0.39%"
"2022- 11- 25","297.543","295.447","298.819","294.852","30.35K","0.92%"
"2022- 11- 24","294.820","292.260","296.405","292.057","31.20K","0.96%"
"2022- 11- 23","292.016","295.417","296.525","292.014","33.71K","-1.02%"
"2022- 11- 22","295.016","296.858","297.917","295.067","37.82K","-0.49%"
"2022- 11- 21","296.467","294.620","297.605","293.619","32.97K","0.84%"
