"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","131.76","132.90","133.00","131.51","","-0.82%"
"2022- 12- 18","132.85","132.51","132.85","132.21","","0.61%"
"2022- 12- 16","132.04","133.70","134.40","131.81","","-1.15%"
"2022- 12- 15","133.58","133.37","134.99","132.83","","0.33%"
"2022- 12- 14","133.15","131.97","133.82","131.68","","1.03%"
"2022- 12- 13","131.79","130.70","133.98","130.38","","1.11%"
"2022- 12- 12","130.35","130.65","131.33","130.01","","-0.23%"
"2022- 12- 09","130.65","132.12","132.38","129.65","","-0.93%"
"2022- 12- 08","131.88","131.18","132.55","130.95","","0.58%"
"2022- 12- 07","131.12","131.69","132.90","130.91","","-0.39%"
"2022- 12- 06","131.63","131.24","133.48","130.93","","0.44%"
"2022- 12- 05","131.05","132.68","133.68","130.73","","-1.38%"
"2022- 12- 02","132.88","133.99","134.42","131.41","","-0.86%"
"2022- 12- 01","134.04","132.23","134.23","131.49","","1.46%"
"2022- 11- 30","132.11","132.49","133.93","131.64","","-0.16%"
"2022- 11- 29","132.32","133.89","134.15","132.16","","-1.02%"
"2022- 11- 28","133.68","135.29","135.61","133.54","","-0.89%"
"2022- 11- 25","134.88","134.04","135.68","133.29","","0.84%"
"2022- 11- 24","133.75","134.53","134.92","133.24","","-0.55%"
"2022- 11- 23","134.49","133.76","135.11","133.38","","0.62%"
"2022- 11- 22","133.65","132.55","133.93","131.96","","0.98%"
"2022- 11- 21","132.35","131.45","133.27","131.09","","0.72%"
