"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","5,689.36","5,720.32","5,726.12","5,622.56","94.71M","-0.74%"
"2022- 12- 15","5,731.90","5,772.46","5,822.32","5,730.55","71.89M","-0.96%"
"2022- 12- 14","5,787.35","5,789.65","5,800.85","5,757.39","56.99M","-0.10%"
"2022- 12- 13","5,793.05","5,768.83","5,859.73","5,746.51","69.59M","0.39%"
"2022- 12- 12","5,770.36","5,723.44","5,784.19","5,709.98","41.76M","0.32%"
"2022- 12- 09","5,751.82","5,750.03","5,756.68","5,690.38","63.56M","0.11%"
"2022- 12- 08","5,745.57","5,779.11","5,781.61","5,729.80","43.11M","-0.93%"
"2022- 12- 07","5,799.67","5,838.53","5,855.07","5,799.67","49.37M","-0.91%"
"2022- 12- 06","5,852.78","5,850.88","5,882.96","5,839.16","48.79M","-0.22%"
"2022- 12- 05","5,865.47","5,837.54","5,893.93","5,817.83","67.10M","0.15%"
"2022- 12- 02","5,856.57","5,918.53","5,928.74","5,850.59","85.81M","-1.19%"
"2022- 12- 01","5,927.23","5,897.73","5,952.58","5,881.58","138.82M","1.10%"
"2022- 11- 30","5,862.69","5,843.79","5,868.53","5,834.89","83.43M","0.55%"
"2022- 11- 29","5,830.42","5,839.54","5,855.10","5,798.37","69.42M","0.20%"
"2022- 11- 28","5,818.76","5,861.17","5,861.32","5,803.52","68.83M","-1.01%"
"2022- 11- 25","5,877.95","5,882.78","5,895.45","5,853.22","89.74M","-0.04%"
"2022- 11- 24","5,880.12","5,882.86","5,910.95","5,875.93","50.32M","0.16%"
"2022- 11- 23","5,870.77","5,863.85","5,884.84","5,813.94","59.09M","0.41%"
"2022- 11- 22","5,846.61","5,792.28","5,861.20","5,789.24","57.80M","1.40%"
"2022- 11- 21","5,766.14","5,775.09","5,802.66","5,759.61","49.08M","0.00%"
