"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","1,006.63","1,030.58","1,031.05","1,006.12","","-3.08%"
"2022- 12- 16","1,038.63","1,035.70","1,041.68","1,034.20","","-0.32%"
"2022- 12- 15","1,042.01","1,053.77","1,054.57","1,033.89","","-1.77%"
"2022- 12- 14","1,060.74","1,083.34","1,083.34","1,060.74","","-2.59%"
"2022- 12- 13","1,088.97","1,088.18","1,089.27","1,073.70","","0.01%"
"2022- 12- 12","1,088.86","1,096.97","1,099.44","1,083.07","","-0.93%"
"2022- 12- 09","1,099.12","1,097.83","1,105.42","1,093.19","","0.23%"
"2022- 12- 08","1,096.63","1,101.06","1,103.34","1,094.49","","-0.21%"
"2022- 12- 07","1,098.93","1,094.24","1,099.15","1,082.10","","0.17%"
"2022- 12- 06","1,097.09","1,101.44","1,103.55","1,092.88","","-1.58%"
"2022- 12- 05","1,114.69","1,101.85","1,120.38","1,097.92","","0.64%"
"2022- 12- 02","1,107.55","1,117.28","1,117.64","1,106.83","","-1.43%"
"2022- 12- 01","1,123.63","1,132.08","1,134.18","1,120.93","","-0.13%"
"2022- 11- 30","1,125.14","1,129.01","1,131.41","1,122.97","","-0.32%"
"2022- 11- 29","1,128.71","1,125.25","1,131.92","1,120.01","","0.56%"
"2022- 11- 28","1,122.46","1,128.85","1,133.21","1,116.85","","-1.63%"
"2022- 11- 25","1,141.07","1,151.57","1,151.95","1,137.49","","-0.45%"
"2022- 11- 24","1,146.28","1,153.03","1,161.62","1,144.05","","-0.10%"
"2022- 11- 23","1,147.43","1,143.87","1,154.65","1,135.82","","0.42%"
"2022- 11- 22","1,142.58","1,128.46","1,146.33","1,123.46","","1.81%"
"2022- 11- 21","1,122.29","1,145.40","1,145.40","1,120.24","","-2.16%"
