"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","125.99","125.78","126.25","124.97","","0.19%"
"2022- 12- 18","125.76","125.78","125.98","125.76","","0.00%"
"2022- 12- 16","125.75","127.55","127.71","125.64","","-1.32%"
"2022- 12- 15","127.44","127.53","128.85","126.96","","0.05%"
"2022- 12- 14","127.38","126.17","127.87","125.93","","1.00%"
"2022- 12- 13","126.11","126.49","128.52","125.88","","-0.21%"
"2022- 12- 12","126.38","126.21","126.86","125.93","","0.18%"
"2022- 12- 09","126.15","127.43","127.83","125.10","","-0.81%"
"2022- 12- 08","127.17","126.55","127.70","126.34","","0.53%"
"2022- 12- 07","126.50","126.85","127.88","125.96","","-0.24%"
"2022- 12- 06","126.80","125.35","127.67","125.10","","1.40%"
"2022- 12- 05","125.05","125.57","126.32","125.10","","-0.52%"
"2022- 12- 02","125.71","126.61","126.82","123.87","","-0.57%"
"2022- 12- 01","126.43","123.97","126.75","123.52","","2.07%"
"2022- 11- 30","123.87","125.29","125.64","123.56","","-1.04%"
"2022- 11- 29","125.18","127.04","127.50","124.99","","-1.36%"
"2022- 11- 28","126.91","128.16","128.80","126.90","","-0.54%"
"2022- 11- 25","127.60","127.66","128.49","126.86","","0.18%"
"2022- 11- 24","127.37","127.86","128.38","126.58","","-0.35%"
"2022- 11- 23","127.81","127.04","128.59","126.69","","0.74%"
"2022- 11- 22","126.87","126.90","127.31","126.35","","0.05%"
"2022- 11- 21","126.81","125.60","127.21","125.49","","0.64%"
