"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","1,605.85","1,619.72","1,621.48","1,601.71","9.45M","-0.76%"
"2022- 12- 19","1,618.20","1,619.03","1,624.34","1,613.94","13.00B","-0.05%"
"2022- 12- 16","1,619.01","1,615.55","1,620.44","1,612.02","15.68B","-0.08%"
"2022- 12- 15","1,620.28","1,632.64","1,634.02","1,616.99","16.64B","-0.80%"
"2022- 12- 14","1,633.36","1,630.49","1,638.88","1,628.17","14.17B","0.46%"
"2022- 12- 13","1,625.91","1,629.83","1,633.07","1,621.41","12.70B","0.17%"
"2022- 12- 09","1,623.13","1,621.97","1,629.93","1,618.13","12.34B","0.16%"
"2022- 12- 08","1,620.49","1,624.29","1,625.90","1,615.06","11.65B","-0.11%"
"2022- 12- 07","1,622.28","1,632.20","1,636.15","1,621.01","17.01B","-0.65%"
"2022- 12- 06","1,632.97","1,639.25","1,640.87","1,628.66","14.65B","-0.53%"
"2022- 12- 02","1,641.63","1,649.79","1,651.19","1,639.13","14.67B","-0.41%"
"2022- 12- 01","1,648.44","1,642.16","1,651.76","1,639.02","18.84B","0.80%"
"2022- 11- 30","1,635.36","1,626.14","1,636.08","1,622.24","17.50B","0.68%"
"2022- 11- 29","1,624.39","1,619.23","1,625.67","1,613.87","16.18B","0.46%"
"2022- 11- 28","1,616.91","1,616.43","1,620.78","1,612.56","13.00B","-0.24%"
"2022- 11- 25","1,620.84","1,622.39","1,622.89","1,615.95","11.01B","-0.25%"
"2022- 11- 24","1,624.96","1,628.79","1,630.08","1,621.57","13.45B","0.03%"
"2022- 11- 23","1,624.40","1,619.87","1,626.22","1,617.56","15.65B","0.56%"
"2022- 11- 22","1,615.33","1,620.34","1,629.22","1,612.25","18.10B","-0.22%"
"2022- 11- 21","1,618.86","1,613.43","1,623.30","1,611.45","14.85B","0.09%"
