"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","958.450","963.945","965.055","956.285","14.63K","-0.57%"
"2022- 12- 18","963.980","964.515","964.585","963.665","1.02K","0.07%"
"2022- 12- 16","963.270","969.480","971.105","961.410","73.16K","-0.55%"
"2022- 12- 15","968.570","962.035","972.265","959.860","81.76K","0.74%"
"2022- 12- 14","961.490","957.405","965.545","956.880","91.89K","0.48%"
"2022- 12- 13","956.900","964.735","973.125","956.785","75.14K","-0.72%"
"2022- 12- 12","963.830","964.090","969.530","962.335","64.49K","0.03%"
"2022- 12- 09","963.550","972.795","974.115","959.230","72.84K","-0.84%"
"2022- 12- 08","971.740","970.055","975.220","969.205","74.66K","0.22%"
"2022- 12- 07","969.590","971.650","975.800","966.505","87.48K","-0.17%"
"2022- 12- 06","971.220","961.335","975.245","960.160","78.09K","1.07%"
"2022- 12- 05","960.930","960.960","964.125","957.520","72.36K","0.11%"
"2022- 12- 02","959.840","963.375","964.925","953.290","75.40K","-0.38%"
"2022- 12- 01","963.530","956.255","964.765","953.560","90.91K","0.81%"
"2022- 11- 30","955.830","964.790","967.325","955.345","84.42K","-0.89%"
"2022- 11- 29","964.390","972.350","973.955","962.300","78.47K","-0.69%"
"2022- 11- 28","971.110","971.350","974.925","968.405","70.79K","0.07%"
"2022- 11- 25","970.390","965.700","971.765","962.040","61.89K","0.62%"
"2022- 11- 24","964.440","970.980","973.890","963.085","61.56K","-0.64%"
"2022- 11- 23","970.630","982.005","982.605","969.950","70.31K","-1.12%"
"2022- 11- 22","981.600","983.835","986.340","978.815","84.77K","-0.20%"
"2022- 11- 21","983.570","974.960","986.250","974.320","86.80K","1.06%"
