"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","10,949.12","11,092.86","11,092.86","10,908.53","78.64K","-1.58%"
"2022- 12- 19","11,124.70","11,286.66","11,329.56","11,083.85","10.08B","-1.51%"
"2022- 12- 16","11,295.03","11,289.52","11,327.27","11,234.62","9.07B","-0.56%"
"2022- 12- 15","11,358.11","11,306.79","11,371.18","11,269.61","9.22B","0.32%"
"2022- 12- 14","11,321.81","11,341.96","11,375.22","11,298.43","9.89B","-0.02%"
"2022- 12- 13","11,323.70","11,398.84","11,399.16","11,312.10","100.51K","-0.66%"
"2022- 12- 12","11,399.13","11,453.26","11,457.09","11,392.89","12.02B","-0.89%"
"2022- 12- 09","11,501.58","11,397.10","11,511.32","11,360.15","14.85B","0.98%"
"2022- 12- 08","11,389.79","11,403.19","11,429.77","11,343.57","11.60B","-0.25%"
"2022- 12- 07","11,418.76","11,365.98","11,504.39","11,358.68","13.00B","0.17%"
"2022- 12- 06","11,398.82","11,278.49","11,465.41","11,264.47","13.50B","0.67%"
"2022- 12- 05","11,323.34","11,292.34","11,338.86","11,250.62","15.76B","0.92%"
"2022- 12- 02","11,219.79","11,238.44","11,312.32","11,206.78","11.67B","-0.39%"
"2022- 12- 01","11,264.16","11,282.46","11,350.48","11,262.81","15.68B","1.40%"
"2022- 11- 30","11,108.50","11,071.31","11,140.50","11,044.03","15.35B","0.18%"
"2022- 11- 29","11,089.01","10,891.72","11,112.73","10,888.54","15.33B","2.40%"
"2022- 11- 28","10,829.08","10,708.56","10,833.27","10,657.89","11.01B","-0.69%"
"2022- 11- 25","10,904.27","10,928.15","10,962.14","10,881.08","10.32B","-0.48%"
"2022- 11- 24","10,956.68","11,019.47","11,061.36","10,927.85","9.58B","-0.15%"
"2022- 11- 23","10,972.81","10,971.00","11,025.48","10,842.59","10.44B","-0.27%"
"2022- 11- 22","11,002.93","11,113.32","11,152.00","10,960.88","11.32B","-1.18%"
"2022- 11- 21","11,134.47","11,086.69","11,137.63","11,014.96","11.57B","-0.41%"
