"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","37.026","37.340","37.430","36.993","24.52K","-0.84%"
"2022- 12- 19","37.340","37.567","37.662","37.252","35.66K","-0.58%"
"2022- 12- 18","37.556","37.578","37.599","37.556","0.02K","0.01%"
"2022- 12- 16","37.553","37.646","37.673","37.247","32.42K","-0.14%"
"2022- 12- 15","37.607","37.541","37.729","37.353","41.39K","0.24%"
"2022- 12- 14","37.516","37.260","37.722","37.232","41.55K","0.75%"
"2022- 12- 13","37.237","37.484","37.842","37.245","43.25K","-0.56%"
"2022- 12- 12","37.445","37.587","37.740","37.440","38.20K","-0.38%"
"2022- 12- 09","37.586","37.976","37.993","37.342","43.42K","-0.88%"
"2022- 12- 08","37.920","37.608","38.039","37.606","45.94K","0.89%"
"2022- 12- 07","37.586","37.600","37.769","37.493","47.25K","0.02%"
"2022- 12- 06","37.579","37.296","37.742","37.158","48.76K","0.81%"
"2022- 12- 05","37.276","37.445","37.529","37.171","40.51K","-0.25%"
"2022- 12- 02","37.371","37.487","37.590","37.024","44.49K","-0.26%"
"2022- 12- 01","37.467","37.043","37.564","36.944","53.12K","1.12%"
"2022- 11- 30","37.052","37.374","37.536","37.023","50.66K","-0.81%"
"2022- 11- 29","37.355","37.537","37.593","37.175","47.69K","-0.35%"
"2022- 11- 28","37.486","37.202","37.638","37.094","46.64K","0.51%"
"2022- 11- 25","37.297","37.160","37.418","37.012","39.63K","0.56%"
"2022- 11- 24","37.090","37.131","37.240","36.818","38.26K","-0.07%"
"2022- 11- 23","37.114","37.448","37.503","37.098","42.42K","-0.84%"
"2022- 11- 22","37.428","37.475","37.609","37.346","46.38K","-0.08%"
"2022- 11- 21","37.457","37.421","37.675","37.411","40.65K","0.23%"
