"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","75.21","75.54","75.56","74.04","","1.02%"
"2022- 12- 16","74.45","76.24","76.57","73.33","","-2.36%"
"2022- 12- 15","76.25","77.26","77.76","75.38","","-1.32%"
"2022- 12- 14","77.27","75.19","77.74","74.91","","2.77%"
"2022- 12- 13","75.19","73.42","76.36","73.22","","2.38%"
"2022- 12- 12","73.44","71.89","73.98","70.25","","2.14%"
"2022- 12- 11","71.90","71.78","72.31","71.65","","0.56%"
"2022- 12- 09","71.50","72.07","72.92","70.11","","-0.78%"
"2022- 12- 08","72.06","72.57","75.39","71.14","","-0.72%"
"2022- 12- 07","72.58","74.47","75.36","71.75","","-2.54%"
"2022- 12- 06","74.47","77.41","77.88","73.43","","-3.79%"
"2022- 12- 05","77.40","81.13","82.71","76.78","","-4.62%"
"2022- 12- 04","81.15","80.06","81.29","79.89","","1.06%"
"2022- 12- 02","80.30","81.32","82.19","79.68","","-1.27%"
"2022- 12- 01","81.33","80.56","83.33","79.94","","0.96%"
"2022- 11- 30","80.56","78.75","81.34","78.41","","3.02%"
"2022- 11- 29","78.20","76.54","79.65","76.29","381.87K","1.24%"
"2022- 11- 28","77.24","75.93","77.84","73.60","405.03K","1.26%"
"2022- 11- 25","76.28","77.51","79.90","76.22","266.45K","-2.14%"
"2022- 11- 24","77.95","77.53","78.19","76.92","","0.01%"
"2022- 11- 23","77.94","81.08","81.95","76.83","379.15K","-3.72%"
"2022- 11- 22","80.95","80.22","82.36","79.85","269.62K","1.53%"
"2022- 11- 21","79.73","80.30","80.30","75.08","21.98K","-0.44%"
