"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","3.8042","3.7758","3.8232","3.7735","","0.77%"
"2022- 12- 18","3.7752","3.7750","3.7787","3.7710","","0.36%"
"2022- 12- 16","3.7615","3.7760","3.8050","3.7330","","-0.04%"
"2022- 12- 15","3.7630","3.8635","3.8675","3.7570","60.79K","-2.97%"
"2022- 12- 14","3.8780","3.8455","3.8920","3.8230","50.21K","0.94%"
"2022- 12- 13","3.8420","3.8080","3.9290","3.8035","69.13K","1.09%"
"2022- 12- 12","3.8005","3.8595","3.8595","3.7860","45.29K","-2.01%"
"2022- 12- 09","3.8785","3.8815","3.9245","3.8460","51.88K","-0.13%"
"2022- 12- 08","3.8835","3.8435","3.9125","3.8330","50.54K","0.60%"
"2022- 12- 07","3.8605","3.8210","3.8740","3.7750","52.67K","1.11%"
"2022- 12- 06","3.8180","3.7915","3.8635","3.7845","53.10K","0.61%"
"2022- 12- 05","3.7950","3.8530","3.8945","3.7730","58.79K","-1.44%"
"2022- 12- 02","3.8505","3.7975","3.8650","3.7445","59.97K","0.86%"
"2022- 12- 01","3.8175","3.7820","3.8225","3.7350","59.94K","2.13%"
"2022- 11- 30","3.7380","3.6440","3.7925","3.6340","81.15K","2.71%"
"2022- 11- 29","3.6395","3.6015","3.6845","3.5955","55.24K","0.64%"
"2022- 11- 28","3.6165","3.5910","3.6195","3.5575","0.46K","-0.45%"
"2022- 11- 25","3.6330","3.6545","3.6580","3.6220","0.18K","-0.18%"
"2022- 11- 24","3.6395","3.6472","3.6710","3.6240","","0.54%"
"2022- 11- 23","3.6200","3.6225","3.6315","3.6040","0.21K","0.10%"
"2022- 11- 22","3.6165","3.5950","3.6650","3.5900","0.25K","1.13%"
"2022- 11- 21","3.5760","3.6500","3.6550","3.5560","32.41K","-1.80%"
