"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","1,806.65","1,800.80","1,808.55","1,800.05","","0.33%"
"2022- 12- 18","1,800.65","1,802.00","1,803.10","1,800.45","","0.03%"
"2022- 12- 16","1,800.20","1,786.90","1,804.20","1,783.90","128.75K","0.69%"
"2022- 12- 15","1,787.80","1,818.70","1,819.70","1,782.00","185.32K","-1.70%"
"2022- 12- 14","1,818.70","1,822.60","1,825.40","1,806.20","143.80K","-0.37%"
"2022- 12- 13","1,825.50","1,792.30","1,836.90","1,791.80","230.91K","1.85%"
"2022- 12- 12","1,792.30","1,808.00","1,809.30","1,789.00","107.78K","-1.02%"
"2022- 12- 09","1,810.70","1,801.90","1,819.00","1,800.10","150.94K","0.51%"
"2022- 12- 08","1,801.50","1,799.50","1,806.90","1,793.20","116.27K","0.19%"
"2022- 12- 07","1,798.00","1,783.30","1,803.20","1,780.50","155.57K","0.88%"
"2022- 12- 06","1,782.40","1,780.80","1,793.20","1,779.10","127.86K","0.06%"
"2022- 12- 05","1,781.30","1,810.50","1,822.90","1,778.10","179.82K","-1.56%"
"2022- 12- 02","1,809.60","1,817.00","1,818.70","1,791.80","183.72K","-0.31%"
"2022- 12- 01","1,815.20","1,783.10","1,818.40","1,782.90","226.15K","3.14%"
"2022- 11- 30","1,759.90","1,763.40","1,784.20","1,758.20","192.24K","-0.22%"
"2022- 11- 29","1,763.70","1,754.60","1,773.40","1,752.90","127.32K","0.48%"
"2022- 11- 28","1,755.30","1,771.10","1,778.50","1,753.30","128.55K","0.07%"
"2022- 11- 25","1,754.00","1,751.00","1,761.20","1,745.90","134.30K","-0.08%"
"2022- 11- 24","1,755.35","1,753.05","1,758.95","1,752.55","","0.56%"
"2022- 11- 23","1,745.60","1,740.80","1,754.90","1,719.00","167.77K","0.33%"
"2022- 11- 22","1,739.90","1,739.70","1,751.00","1,737.60","153.09K","0.02%"
"2022- 11- 21","1,739.60","1,752.00","1,755.00","1,733.90","166.08K","-0.84%"
