"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","10,705.41","10,767.63","10,833.24","10,642.10","3.28B","-0.97%"
"2022- 12- 15","10,810.53","11,012.62","11,029.57","10,775.61","1.16B","-3.23%"
"2022- 12- 14","11,170.89","11,248.09","11,352.09","11,065.24","1.12B","-0.76%"
"2022- 12- 13","11,256.81","11,542.84","11,571.64","11,160.54","1.24B","1.01%"
"2022- 12- 12","11,143.74","11,015.48","11,144.67","10,984.82","955.14M","1.26%"
"2022- 12- 09","11,004.62","11,038.17","11,138.70","10,999.26","867.24M","-0.70%"
"2022- 12- 08","11,082.00","11,011.33","11,119.16","10,939.47","832.95M","1.13%"
"2022- 12- 07","10,958.55","10,963.95","11,039.81","10,910.62","828.48M","-0.51%"
"2022- 12- 06","11,014.89","11,228.42","11,241.42","10,956.20","888.70M","-2.00%"
"2022- 12- 05","11,239.94","11,380.99","11,425.51","11,193.03","885.18M","-1.93%"
"2022- 12- 02","11,461.50","11,308.38","11,492.32","11,296.72","859.61M","-0.18%"
"2022- 12- 01","11,482.45","11,475.17","11,546.77","11,378.75","912.53M","0.13%"
"2022- 11- 30","11,468.00","10,995.20","11,468.47","10,966.53","1.62B","4.41%"
"2022- 11- 29","10,983.78","11,060.02","11,086.02","10,944.37","783.46M","-0.59%"
"2022- 11- 28","11,049.50","11,147.57","11,217.75","11,020.69","811.96M","-1.58%"
"2022- 11- 25","11,226.36","11,231.00","11,261.57","11,206.38","377.17M","-0.52%"
"2022- 11- 23","11,285.32","11,174.61","11,310.82","11,174.61","695.12M","0.99%"
"2022- 11- 22","11,174.41","11,058.56","11,179.87","10,975.66","758.80M","1.36%"
"2022- 11- 21","11,024.51","11,091.01","11,128.78","10,999.75","765.20M","-1.09%"
