"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","700.71","702.82","706.31","700.68","61.94M","0.10%"
"2022- 12- 16","700.00","705.35","707.22","697.17","143.00M","-1.07%"
"2022- 12- 15","707.60","723.26","725.00","707.14","87.93M","-3.18%"
"2022- 12- 14","730.87","729.85","732.13","727.72","65.45M","-0.28%"
"2022- 12- 13","732.95","724.76","741.09","721.52","78.31M","1.70%"
"2022- 12- 12","720.69","719.20","722.23","718.12","54.91M","-0.48%"
"2022- 12- 09","724.17","722.84","725.59","718.58","61.91M","0.60%"
"2022- 12- 08","719.83","719.26","721.83","715.62","62.30M","0.21%"
"2022- 12- 07","718.34","719.70","722.81","715.96","69.01M","-0.74%"
"2022- 12- 06","723.68","725.84","728.56","720.66","63.96M","-0.47%"
"2022- 12- 05","727.09","730.46","731.04","726.46","65.11M","-0.54%"
"2022- 12- 02","731.04","728.85","732.89","722.82","76.56M","-0.10%"
"2022- 12- 01","731.74","731.73","734.56","728.76","81.82M","1.06%"
"2022- 11- 30","724.10","721.67","726.07","720.24","148.27M","0.89%"
"2022- 11- 29","717.74","723.76","726.20","716.88","72.57M","-0.38%"
"2022- 11- 28","720.51","716.73","721.84","715.17","62.19M","-0.33%"
"2022- 11- 25","722.93","721.31","725.80","721.12","50.41M","0.03%"
"2022- 11- 24","722.74","720.01","726.46","720.01","50.02M","0.18%"
"2022- 11- 23","721.45","718.93","722.69","716.35","60.03M","0.71%"
"2022- 11- 22","716.33","711.14","717.31","706.84","68.30M","0.84%"
"2022- 11- 21","710.38","711.72","712.72","708.63","64.89M","-0.30%"
