"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","32,920.00","33,166.46","33,166.46","32,654.64","623.17M","-0.85%"
"2022- 12- 15","33,202.81","33,773.00","33,773.00","33,016.45","368.79M","-2.25%"
"2022- 12- 14","33,965.69","34,086.07","34,395.38","33,710.64","319.15M","-0.43%"
"2022- 12- 13","34,110.69","34,268.44","34,711.63","33,896.80","404.26M","0.31%"
"2022- 12- 12","34,004.81","33,545.73","34,004.81","33,545.50","301.73M","1.58%"
"2022- 12- 09","33,475.60","33,746.71","33,844.56","33,465.57","276.10M","-0.90%"
"2022- 12- 08","33,780.16","33,695.97","33,898.46","33,643.05","264.54M","0.55%"
"2022- 12- 07","33,596.87","33,556.40","33,773.78","33,505.36","277.44M","0.00%"
"2022- 12- 06","33,596.51","33,936.87","34,005.32","33,418.59","297.15M","-1.03%"
"2022- 12- 05","33,946.51","34,190.57","34,270.09","33,847.05","303.91M","-1.40%"
"2022- 12- 02","34,428.95","34,265.45","34,481.12","34,042.46","279.59M","0.09%"
"2022- 12- 01","34,396.53","34,533.59","34,581.98","34,130.18","331.32M","-0.55%"
"2022- 11- 30","34,587.46","33,795.43","34,587.46","33,583.93","466.31M","2.18%"
"2022- 11- 29","33,850.48","33,847.80","33,933.49","33,662.45","271.10M","0.00%"
"2022- 11- 28","33,849.66","34,185.42","34,303.88","33,799.41","286.59M","-1.45%"
"2022- 11- 25","34,346.83","34,213.04","34,385.89","34,203.36","123.65M","0.44%"
"2022- 11- 23","34,195.11","34,091.57","34,262.07","34,004.64","225.79M","0.28%"
"2022- 11- 22","34,098.03","33,810.05","34,112.84","33,810.05","268.49M","1.18%"
"2022- 11- 21","33,700.87","33,770.81","33,862.64","33,559.60","339.60M","-0.14%"
