"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.394","2.385","2.459","2.385","-1.03%"
"2022년 12월 19일","2.419","2.375","2.420","2.352","1.36%"
"2022년 12월 16일","2.386","2.254","2.408","2.254","3.83%"
"2022년 12월 15일","2.299","2.138","2.305","2.138","7.26%"
"2022년 12월 14일","2.143","2.157","2.198","2.105","-0.76%"
"2022년 12월 13일","2.159","2.152","2.220","2.145","0.86%"
"2022년 12월 12일","2.141","2.154","2.287","2.139","-2.90%"
"2022년 12월 09일","2.205","2.054","2.250","2.054","7.22%"
"2022년 12월 08일","2.056","2.045","2.076","2.024","0.71%"
"2022년 12월 07일","2.042","2.051","2.060","2.015","-0.73%"
"2022년 12월 06일","2.057","2.092","2.130","2.028","-2.02%"
"2022년 12월 05일","2.099","2.046","2.099","2.046","3.86%"
"2022년 12월 02일","2.022","2.065","2.065","2.022","-1.77%"
"2022년 12월 01일","2.058","2.126","2.132","2.032","-2.00%"
"2022년 11월 30일","2.100","2.102","2.127","2.093","0.50%"
"2022년 11월 29일","2.089","2.162","2.186","2.081","0.67%"
"2022년 11월 28일","2.076","2.063","2.093","2.059","0.83%"
"2022년 11월 25일","2.059","2.033","2.060","1.995","2.59%"
"2022년 11월 24일","2.007","2.007","2.012","1.957","0.73%"
"2022년 11월 23일","1.992","1.977","1.992","1.977","1.14%"
"2022년 11월 22일","1.969","1.957","1.980","1.957","-1.18%"
"2022년 11월 21일","1.993","2.069","2.083","1.949","-3.42%"
