"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","2.148","2.085","2.202","2.066","3.37%"
"2022년 12월 15일","2.078","1.912","2.109","1.874","9.54%"
"2022년 12월 14일","1.897","1.883","1.958","1.852","1.17%"
"2022년 12월 13일","1.875","1.918","1.952","1.817","-1.42%"
"2022년 12월 12일","1.902","1.893","1.923","1.845","0.53%"
"2022년 12월 09일","1.892","1.781","1.906","1.781","6.29%"
"2022년 12월 08일","1.780","1.740","1.793","1.723","2.06%"
"2022년 12월 07일","1.744","1.750","1.788","1.710","-0.80%"
"2022년 12월 06일","1.758","1.835","1.874","1.755","-4.30%"
"2022년 12월 05일","1.837","1.809","1.855","1.773","1.44%"
"2022년 12월 02일","1.811","1.781","1.826","1.711","1.80%"
"2022년 12월 01일","1.779","1.831","1.835","1.758","-6.66%"
"2022년 11월 30일","1.906","1.916","1.931","1.836","1.65%"
"2022년 11월 29일","1.875","1.916","1.924","1.836","-3.94%"
"2022년 11월 28일","1.952","1.912","1.987","1.873","0.88%"
"2022년 11월 25일","1.935","1.829","1.944","1.819","6.85%"
"2022년 11월 24일","1.811","1.865","1.879","1.767","-4.08%"
"2022년 11월 23일","1.888","1.939","1.989","1.877","-2.63%"
"2022년 11월 22일","1.939","1.936","1.980","1.925","0.52%"
"2022년 11월 21일","1.929","1.940","2.004","1.905","-1.78%"
