"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","9.460","9.470","9.470","9.415","0.48%"
"2022년 12월 19일","9.415","9.260","9.475","9.260","0.37%"
"2022년 12월 16일","9.380","9.360","9.410","9.340","-0.11%"
"2022년 12월 15일","9.390","9.430","9.430","9.290","0.21%"
"2022년 12월 14일","9.370","9.310","9.390","9.240","0.75%"
"2022년 12월 13일","9.300","9.390","9.390","9.230","-0.43%"
"2022년 12월 12일","9.340","9.320","9.370","9.310","-0.11%"
"2022년 12월 09일","9.350","9.310","9.350","9.290","0.43%"
"2022년 12월 08일","9.310","9.340","9.340","9.260","-0.32%"
"2022년 12월 07일","9.340","9.600","9.600","9.280","-0.32%"
"2022년 12월 06일","9.370","9.600","9.600","9.240","0.43%"
"2022년 12월 05일","9.330","9.590","9.590","9.240","0.43%"
"2022년 12월 02일","9.290","9.450","9.450","9.250","0.22%"
"2022년 12월 01일","9.270","9.300","9.310","9.190","-0.11%"
"2022년 11월 30일","9.280","9.260","9.290","9.190","0.76%"
"2022년 11월 29일","9.210","9.240","9.240","9.140","0.22%"
"2022년 11월 28일","9.190","9.540","9.540","9.140","0.11%"
"2022년 11월 25일","9.180","9.290","9.290","9.160","-0.33%"
"2022년 11월 24일","9.210","9.520","9.520","9.170","-0.75%"
"2022년 11월 23일","9.280","9.560","9.560","9.250","0.11%"
"2022년 11월 22일","9.270","9.550","9.550","9.200","0.11%"
"2022년 11월 21일","9.260","9.540","9.540","9.190","0.43%"
