"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","2,099.35","2,071.10","2,102.57","2,071.10","","-1.44%"
"2022- 12- 19","2,129.98","2,131.33","2,139.07","2,109.56","","-0.13%"
"2022- 12- 16","2,132.75","2,118.43","2,135.79","2,116.08","","0.28%"
"2022- 12- 15","2,126.80","2,151.69","2,151.69","2,115.21","","-1.53%"
"2022- 12- 14","2,159.81","2,171.12","2,171.31","2,154.65","","-0.67%"
"2022- 12- 13","2,174.38","2,175.29","2,177.95","2,154.52","","0.06%"
"2022- 12- 12","2,173.16","2,178.33","2,185.49","2,163.33","","-0.22%"
"2022- 12- 09","2,177.85","2,178.93","2,183.97","2,169.04","","-0.30%"
"2022- 12- 08","2,184.43","2,196.17","2,197.77","2,174.57","","-0.39%"
"2022- 12- 07","2,192.88","2,185.01","2,193.71","2,166.77","","-0.15%"
"2022- 12- 06","2,196.24","2,204.51","2,208.36","2,184.65","","-0.55%"
"2022- 12- 05","2,208.28","2,179.79","2,210.70","2,174.17","","1.28%"
"2022- 12- 02","2,180.44","2,189.19","2,189.35","2,173.48","","-0.31%"
"2022- 12- 01","2,187.29","2,189.65","2,193.41","2,183.57","","0.59%"
"2022- 11- 30","2,174.53","2,184.27","2,184.27","2,172.67","","-0.49%"
"2022- 11- 29","2,185.32","2,180.65","2,191.44","2,178.34","","0.36%"
"2022- 11- 28","2,177.45","2,180.32","2,182.16","2,163.44","","-0.81%"
"2022- 11- 25","2,195.17","2,209.31","2,211.10","2,190.67","","-0.71%"
"2022- 11- 24","2,210.95","2,214.14","2,225.92","2,206.12","","-0.04%"
"2022- 11- 23","2,211.89","2,196.24","2,217.40","2,180.64","","0.72%"
"2022- 11- 22","2,196.04","2,179.76","2,200.06","2,169.62","","1.37%"
"2022- 11- 21","2,166.31","2,204.90","2,204.90","2,161.35","","-1.81%"
