"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.517","3.504","3.522","3.500","0.16%"
"2022년 12월 18일","3.511","3.502","3.511","3.502","0.68%"
"2022년 12월 16일","3.488","3.464","3.557","3.459","1.09%"
"2022년 12월 15일","3.450","3.497","3.523","3.428","-0.84%"
"2022년 12월 14일","3.479","3.499","3.561","3.461","-0.63%"
"2022년 12월 13일","3.501","3.608","3.630","3.421","-3.20%"
"2022년 12월 12일","3.617","3.586","3.632","3.520","0.82%"
"2022년 12월 11일","3.588","3.584","3.588","3.584","0.05%"
"2022년 12월 09일","3.586","3.489","3.595","3.452","2.76%"
"2022년 12월 08일","3.489","3.435","3.506","3.435","2.01%"
"2022년 12월 07일","3.421","3.542","3.559","3.402","-3.14%"
"2022년 12월 06일","3.531","3.586","3.606","3.508","-1.43%"
"2022년 12월 05일","3.583","3.519","3.612","3.502","1.87%"
"2022년 12월 04일","3.517","3.524","3.524","3.517","0.73%"
"2022년 12월 02일","3.492","3.514","3.638","3.474","-0.53%"
"2022년 12월 01일","3.510","3.620","3.640","3.505","-2.79%"
"2022년 11월 30일","3.611","3.748","3.798","3.600","-3.70%"
"2022년 11월 29일","3.750","3.692","3.763","3.648","1.91%"
"2022년 11월 28일","3.679","3.692","3.720","3.620","-0.40%"
"2022년 11월 27일","3.694","3.696","3.696","3.694","0.10%"
"2022년 11월 25일","3.691","3.661","3.756","3.650","0.80%"
"2022년 11월 24일","3.661","3.659","3.661","3.659","-0.75%"
"2022년 11월 23일","3.689","3.829","3.799","3.689","-1.83%"
"2022년 11월 22일","3.758","3.832","3.832","3.747","-2.14%"
"2022년 11월 21일","3.840","3.816","3.844","3.762","0.68%"
"2022년 11월 20일","3.814","3.819","3.819","3.814","-0.39%"
